"LEV_RID_LEND_EVENT","LEV_IID_INV_ID","LEV_FID_FAC_INV_ID","LEV_CDE_EVENT_TYPE","LEV_DTE_EFFECTIVE","LEV_PID_DEAL","LEV_PID_FACILITY","LEV_TSP_REC_CREATE","LEV_TSP_REC_UPDATE","LEV_UID_REC_CREATE","LEV_UID_REC_UPDATE","LEV_TXT_EVENT_CMT","LEV_RID_TRADE_TKT","LEV_CDE_BRANCH"
"J-EFFA0Z","Y5EFF5BP","","STSA ","2020-05-27 00:00:00","Y5EFF54H","","2020-08-24 13:01:22","2020-08-24 13:01:22","LIQUSR03","LIQUSR03","Warnings occurred during validation: No","","CG852"
"J-EFFA11","Y5EFF5C4","","STSA ","2020-05-27 00:00:00","Y5EFF54H","","2020-08-24 13:01:22","2020-08-24 13:01:22","LIQUSR03","LIQUSR03","Warnings occurred during validation: No","","CG852"
"J#EFFADR","Y5EFF5BP","","APPST","2020-05-27 00:00:00","Y5EFF54H","","2020-08-24 13:02:08","2020-08-24 13:02:08","LIQAPCP3","LIQAPCP3","Approval completed.  Approver: MANUAL CP APPROVER 3, LIQ. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands.","","CG852"
"3.EFFE2G","3.EFFE2D","","CRTE ","","3.EFFDYP","","2020-08-24 15:07:24","2020-08-24 15:07:24","JAQUITAN","JAQUITAN","","","CG852"
"3.EFFE2S","3.EFFE2D","","CIRD ","2020-05-27 00:00:00","3.EFFDYP","","2020-08-24 15:09:29","2020-08-24 15:09:29","JAQUITAN","JAQUITAN","Facility: WSS_JATEST_IN_FAC2 circled for 100,000,000.00 EUR.","","CG852"
"3YEFFEGH","3.EFFE2D","","CLDT ","2020-05-27 00:00:00","3.EFFDYP","","2020-08-24 15:11:24","2020-08-24 15:11:24","JANICEA1","JANICEA1","","","CG852"
"H+EGERQX","H+EGERLM","","CIRD ","2020-05-28 00:00:00","Y5EFF54H","","2020-08-26 16:48:38","2020-08-26 16:48:38","LIQUSR03","LIQUSR03","Facility: FACILITY A circled for 4,000,000.00 EUR.","","CG852"
"H+EGERQY","H+EGERLS","","CIRD ","2020-05-28 00:00:00","Y5EFF54H","","2020-08-26 16:48:38","2020-08-26 16:48:38","LIQUSR03","LIQUSR03","Facility: FACILITY A circled for 4,000,000.00 EUR.","","CG852"
"H+EGERR5","H+EGERLM","","PORTF","2020-05-28 00:00:00","Y5EFF54H","","2020-08-26 16:48:48","2020-08-26 16:48:48","LIQUSR03","LIQUSR03","","","CG852"
"H+EGERRA","H+EGERLM","","STA  ","2020-05-28 00:00:00","Y5EFF54H","","2020-08-26 16:49:05","2020-08-26 16:49:05","LIQUSR03","LIQUSR03","Warnings occurred during validation: N","","CG852"
"H+EGERRF","H+EGERLS","","STA  ","2020-05-28 00:00:00","Y5EFF54H","","2020-08-26 16:49:05","2020-08-26 16:49:05","LIQUSR03","LIQUSR03","Warnings occurred during validation: N","","CG852"
"H+EGERSK","H+EGERLM","","FNDG ","","Y5EFF54H","","2020-08-26 16:52:11","2020-08-26 16:52:11","LIQUSR03","LIQUSR03","Funding status changed to Funding.","","CG852"
"H+EGERSL","H+EGERLS","","FNDG ","","Y5EFF54H","","2020-08-26 16:52:11","2020-08-26 16:52:11","LIQUSR03","LIQUSR03","Funding status changed to Funding.","","CG852"
"=0EFJ79Q","H+EGERLM","","APPST","2020-05-28 00:00:00","Y5EFF54H","","2020-08-26 16:58:11","2020-08-26 16:58:11","LIQAPCP3","LIQAPCP3","Approval completed.  Approver: MANUAL CP APPROVER 3, LIQ. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands. Warnings occurred during validation.","","CG852"
"$PEFJ84R","H+EGERLS","","APPST","2020-05-28 00:00:00","Y5EFF54H","","2020-08-26 17:07:40","2020-08-26 17:07:40","LIQUSR02","LIQUSR02","Approval completed.  Approver: AMSTER, LIQUSER. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands.","","CG852"
"$PEFJ85S","H+EGERLM","","CFREL","2020-05-28 00:00:00","Y5EFF54H","","2020-08-26 17:08:43","2020-08-26 17:08:43","LIQUSR02","LIQUSR02","Cashflow to COMMONWEALTH BANK AU-OBU(CB022), servicing group LENDING(alias:OL)(Sydney, NSW,Australia) for EUR 400,000.00.  Cashflow from CBA AMSTERDAM(CG852), servicing group LOAN(alias:OL)(Amsterdam, Netherlands) for EUR 400,000.00.","","CG852"
"-VEFSKDH","H+EGERLS","","CLDT ","2020-05-28 00:00:00","Y5EFF54H","","2020-08-31 18:52:56","2020-08-31 18:52:56","LIQUSR03","LIQUSR03","","","CG852"
"-VEFSKHR","H+EGERLM","","CSHFL","2020-05-29 00:00:00","Y5EFF54H","","2020-08-31 18:52:56","2020-08-31 18:52:56","LIQUSR03","LIQUSR03","","","CG852"
"-VEFSKFS","H+EGERLM","","CLDT ","2020-05-28 00:00:00","Y5EFF54H","","2020-08-31 18:52:56","2020-08-31 18:52:56","LIQUSR03","LIQUSR03","","","CG852"
"-VEFSKHP","H+EGERLM","","CFREL","2020-05-28 00:00:00","Y5EFF54H","","2020-08-31 18:52:56","2020-08-31 18:52:56","LIQUSR03","LIQUSR03","Cashflow to COMMONWEALTH BANK AU-OBU(CB022), servicing group LENDING(alias:OL)(Sydney, NSW,Australia) for EUR 400,000.00.  Cashflow from CBA AMSTERDAM(CG852), servicing group LOAN(alias:OL)(Amsterdam, Netherlands) for EUR 400,000.00.","","CG852"
"#!EFTRYK","#!EFTRYG","","CRTE ","","#!EFTROA","","2020-09-01 10:00:36","2020-09-01 10:00:36","CMARTILL","CMARTILL","","","CG852"
"#!EFTRYW","#!EFTRYG","","CIRD ","2020-05-29 00:00:00","#!EFTROA","","2020-09-01 10:02:47","2020-09-01 10:02:47","CMARTILL","CMARTILL","Facility: FAC1 AMSTER RPA 1M CM circled for 1,000,000.00 EUR.","","CG852"
".8EGATR2",".)EGARZY","","CFREL","2020-06-04 00:00:00","Y5EFF54H","","2020-09-10 15:06:33","2020-09-10 15:06:33","LIQUSR03","LIQUSR03","Cashflow from LENDSHORT0414, servicing group NHB(alias:LN)(Melbourne, VIC,Australia) for EUR 200,000.00.","","CG852"
".8EGATQ2",".)EGARZY","","CLDT ","2020-06-04 00:00:00","Y5EFF54H","","2020-09-10 15:06:33","2020-09-10 15:06:33","LIQUSR03","LIQUSR03","","","CG852"
".8EGATR4",".)EGARZY","","CSHFL","2020-06-04 00:00:00","Y5EFF54H","","2020-09-10 15:06:33","2020-09-10 15:06:33","LIQUSR03","LIQUSR03","","","CG852"
".)EGAS0C",".)EGARZY","","CRTE ","","Y5EFF54H","","2020-09-10 14:57:47","2020-09-10 14:57:47","LIQUSR03","LIQUSR03","","","CG852"
".)EGAS2X",".)EGARZY","","TGDTE","2020-06-04 00:00:00","Y5EFF54H","","2020-09-10 14:59:22","2020-09-10 14:59:22","LIQUSR03","LIQUSR03","Delayed trigger date modified (27-May-2020)","","CG852"
".)EGAS2N",".)EGARZY","","CIRD ","2020-06-04 00:00:00","Y5EFF54H","","2020-09-10 14:59:22","2020-09-10 14:59:22","LIQUSR03","LIQUSR03","Facility: FACILITY A circled for 2,000,000.00 EUR.","","CG852"
".)EGAS35",".)EGARZY","","PORTF","2020-06-04 00:00:00","Y5EFF54H","","2020-09-10 14:59:32","2020-09-10 14:59:32","LIQUSR03","LIQUSR03","","","CG852"
".)EGAS39",".)EGARZY","","STA  ","2020-06-04 00:00:00","Y5EFF54H","","2020-09-10 14:59:40","2020-09-10 14:59:40","LIQUSR03","LIQUSR03","Warnings occurred during validation: N","","CG852"
".EEGASGN",".)EGARZY","","APRVD","2020-06-04 00:00:00","Y5EFF54H","","2020-09-10 15:01:02","2020-09-10 15:01:02","LIQAPCP3","LIQAPCP3","","","CG852"
"..EGASTM",".)EGARZY","","FNDG ","","Y5EFF54H","","2020-09-10 15:01:57","2020-09-10 15:01:57","LIQUSR03","LIQUSR03","Funding status changed to Funding.","","CG852"
"..EGASTW",".)EGARZY","","STSA ","2020-06-04 00:00:00","Y5EFF54H","","2020-09-10 15:02:00","2020-09-10 15:02:00","LIQUSR03","LIQUSR03","Warnings occurred during validation: Yes","","CG852"
".TEGAT6O",".)EGARZY","","APPST","2020-06-04 00:00:00","Y5EFF54H","","2020-09-10 15:02:39","2020-09-10 15:02:39","LIQAPCP3","LIQAPCP3","Approval completed.  Approver: MANUAL CP APPROVER 3, LIQ. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands. Warnings occurred during validation.","","CG852"
".8EGATJJ",".)EGARZY","","CFREL","2020-06-04 00:00:00","Y5EFF54H","","2020-09-10 15:04:06","2020-09-10 15:04:06","LIQUSR03","LIQUSR03","Cashflow from LENDSHORT0414, servicing group NHB(alias:LN)(Melbourne, VIC,Australia) for EUR 200,000.00.","","CG852"
".8EGATJY",".)EGARZY","","CFCAN","2020-06-04 00:00:00","Y5EFF54H","","2020-09-10 15:04:27","2020-09-10 15:04:27","LIQUSR03","LIQUSR03","Cashflow from LENDSHORT0414, servicing group NHB(alias:LN)(Melbourne, VIC,Australia) for EUR 200,000.00.","","CG852"
":DEFW6TK",":DEFW6QO","","STA  ","2020-05-29 00:00:00","Y5EFF54H","","2020-09-02 16:42:34","2020-09-02 16:42:34","LIQUSR03","LIQUSR03","Warnings occurred during validation: N","","CG852"
":?EFW7CE",":DEFW6QO","","APRVD","2020-05-29 00:00:00","Y5EFF54H","","2020-09-02 16:44:04","2020-09-02 16:44:04","LIQAPCP3","LIQAPCP3","","","CG852"
":DEFW6UE",":DEFW6QO","","FNDG ","","Y5EFF54H","","2020-09-02 16:44:44","2020-09-02 16:44:44","LIQUSR03","LIQUSR03","Funding status changed to Funding.","","CG852"
":DEFW6UO",":DEFW6QO","","STSA ","2020-05-29 00:00:00","Y5EFF54H","","2020-09-02 16:44:56","2020-09-02 16:44:56","LIQUSR03","LIQUSR03","Warnings occurred during validation: Yes","","CG852"
":SEFW77O",":DEFW6QO","","APPST","2020-05-29 00:00:00","Y5EFF54H","","2020-09-02 16:46:10","2020-09-02 16:46:10","LOANIQ01","LOANIQ01","Approval completed.  Approver: USER 01, LOAN IQ. Job Function: Deal Administration Manager; Ranking: 10. Location: Sydney, NSW,Australia. Warnings occurred during validation.","","CG852"
":7EFW7KI",":DEFW6QO","","CFREL","2020-05-29 00:00:00","Y5EFF54H","","2020-09-02 16:48:56","2020-09-02 16:48:56","LIQUSR03","LIQUSR03","Cashflow from LENDSHORT0414, servicing group NHB(alias:LN)(Melbourne, VIC,Australia) for EUR 300,000.00.","","CG852"
":7EFW7KX",":DEFW6QO","","CFCAN","2020-05-29 00:00:00","Y5EFF54H","","2020-09-02 16:49:27","2020-09-02 16:49:27","LIQUSR03","LIQUSR03","Cashflow from LENDSHORT0414, servicing group NHB(alias:LN)(Melbourne, VIC,Australia) for EUR 300,000.00.","","CG852"
":7EFW7RQ",":DEFW6QO","","CFREL","2020-05-29 00:00:00","Y5EFF54H","","2020-09-02 16:57:23","2020-09-02 16:57:23","LIQUSR03","LIQUSR03","Cashflow from LENDSHORT0414, servicing group NHB(alias:LN)(Melbourne, VIC,Australia) for EUR 300,000.00.","","CG852"
":7EFW7QQ",":DEFW6QO","","CLDT ","2020-05-29 00:00:00","Y5EFF54H","","2020-09-02 16:57:23","2020-09-02 16:57:23","LIQUSR03","LIQUSR03","","","CG852"
":7EFW7RS",":DEFW6QO","","CSHFL","2020-05-29 00:00:00","Y5EFF54H","","2020-09-02 16:57:23","2020-09-02 16:57:23","LIQUSR03","LIQUSR03","","","CG852"
"@4EGVD78","(.EGVD1K","","CFREL","2020-07-02 00:00:00","Y5EFF54H","","2020-09-21 16:25:27","2020-09-21 16:25:27","LIQAPCP3","LIQAPCP3","Cashflow from LENDSHORT0414, servicing group NHB(alias:LN)(Melbourne, VIC,Australia) for EUR 200,000.00.","","CG852"
"@4EGVD7A","(.EGVD1K","","CSHFL","2020-07-02 00:00:00","Y5EFF54H","","2020-09-21 16:25:27","2020-09-21 16:25:27","LIQAPCP3","LIQAPCP3","","","CG852"
"@4EGVD68","(.EGVD1K","","CLDT ","2020-07-02 00:00:00","Y5EFF54H","","2020-09-21 16:25:27","2020-09-21 16:25:27","LIQAPCP3","LIQAPCP3","","","CG852"
"+OEH9ZHT","+OEH9ZHP","","CRTE ","","+OEH9ZC4","","2020-09-29 14:25:07","2020-09-29 14:25:07","JAQUITAN","JAQUITAN","","","CG852"
"+OEH9ZIE","+OEH9ZHP","","STSA ","2020-07-08 00:00:00","+OEH9ZC4","","2020-09-29 14:26:37","2020-09-29 14:26:37","JAQUITAN","JAQUITAN","Warnings occurred during validation: No","","CG852"
"+;EH9ZXS","+OEH9ZHP","","CLDT ","2020-07-08 00:00:00","+OEH9ZC4","","2020-09-29 14:29:04","2020-09-29 14:29:04","JANICEA1","JANICEA1","","","CG852"
"+6EHA0BD","+6EHA0AZ","","CRTE ","","+OEH9ZC4","","2020-09-29 14:31:06","2020-09-29 14:31:06","JAQUITAN","JAQUITAN","","","CG852"
"+6EHA0BR","+6EHA0BE","","CRTE ","","+OEH9ZC4","","2020-09-29 14:31:06","2020-09-29 14:31:06","JAQUITAN","JAQUITAN","","","CG852"
"+1EHA12T","+6EHA0AZ","","APRVD","2020-07-08 00:00:00","+OEH9ZC4","","2020-09-29 14:36:21","2020-09-29 14:36:21","JANICEA2","JANICEA2","","","CG852"
"+=EHA1FF","+6EHA0BE","","STSA ","2020-07-08 00:00:00","+OEH9ZC4","","2020-09-29 14:37:21","2020-09-29 14:37:21","JAQUITAN","JAQUITAN","Warnings occurred during validation: No","","CG852"
"+=EHA1FH","+6EHA0AZ","","STSA ","2020-07-08 00:00:00","+OEH9ZC4","","2020-09-29 14:37:21","2020-09-29 14:37:21","JAQUITAN","JAQUITAN","Warnings occurred during validation: No","","CG852"
"(.EGVD1Y","(.EGVD1K","","CRTE ","","Y5EFF54H","","2020-09-21 15:45:54","2020-09-21 15:45:54","LIQUSR03","LIQUSR03","","","CG852"
"(.EGVD7O","(.EGVD1K","","TGDTE","2020-07-02 00:00:00","Y5EFF54H","","2020-09-21 15:49:18","2020-09-21 15:49:18","LIQUSR03","LIQUSR03","Delayed trigger date modified (27-May-2020)","","CG852"
"(.EGVDDA","(.EGVD1K","","CIRD ","2020-07-02 00:00:00","Y5EFF54H","","2020-09-21 15:52:43","2020-09-21 15:52:43","LIQUSR03","LIQUSR03","Facility: FACILITY A circled for 2,000,000.00 EUR.","","CG852"
"(.EGVDEG","(.EGVD1K","","PORTF","2020-07-02 00:00:00","Y5EFF54H","","2020-09-21 15:53:25","2020-09-21 15:53:25","LIQUSR03","LIQUSR03","","","CG852"
"(0EGVELO","(.EGVD1K","","FNDG ","","Y5EFF54H","","2020-09-21 16:07:00","2020-09-21 16:07:00","LIQUSR03","LIQUSR03","Funding status changed to Funding.","","CG852"
"(0EGVEM0","(.EGVD1K","","STSA ","2020-07-02 00:00:00","Y5EFF54H","","2020-09-21 16:07:45","2020-09-21 16:07:45","LIQUSR03","LIQUSR03","Warnings occurred during validation: Yes","","CG852"
"(.EGVDF8","(.EGVD1K","","STA  ","2020-07-02 00:00:00","Y5EFF54H","","2020-09-21 15:53:53","2020-09-21 15:53:53","LIQUSR03","LIQUSR03","Warnings occurred during validation: N","","CG852"
"(GEGVE92","(.EGVD1K","","APRVD","2020-07-02 00:00:00","Y5EFF54H","","2020-09-21 16:03:37","2020-09-21 16:03:37","LIQAPCP3","LIQAPCP3","","","CG852"
"(+EGVEYP","(.EGVD1K","","APPST","2020-07-02 00:00:00","Y5EFF54H","","2020-09-21 16:11:44","2020-09-21 16:11:44","LIQAPCP3","LIQAPCP3","Approval completed.  Approver: MANUAL CP APPROVER 3, LIQ. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands. Warnings occurred during validation.","","CG852"
"+OEH9ZI5","+OEH9ZHP","","CIRD ","2020-07-08 00:00:00","+OEH9ZC4","","2020-09-29 14:26:21","2020-09-29 14:26:21","JAQUITAN","JAQUITAN","Facility: AMS_RPA_FACILITY circled for 100,000,000.00 EUR.","","CG852"
"+OEH9ZIA","+OEH9ZHP","","PORTF","2020-07-08 00:00:00","+OEH9ZC4","","2020-09-29 14:26:32","2020-09-29 14:26:32","JAQUITAN","JAQUITAN","","","CG852"
"+;EH9ZV9","+OEH9ZHP","","APPST","2020-07-08 00:00:00","+OEH9ZC4","","2020-09-29 14:27:44","2020-09-29 14:27:44","JANICEA1","JANICEA1","Approval completed.  Approver: JANICEA1, JANICEA1. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands.","","CG852"
"+6EHA0CR","+6EHA0AZ","","CIRD ","2020-07-08 00:00:00","+OEH9ZC4","","2020-09-29 14:32:40","2020-09-29 14:32:40","JAQUITAN","JAQUITAN","Facility: AMS_RPA_FACILITY circled for 40,000,000.00 EUR.","","CG852"
"+6EHA0CS","+6EHA0BE","","CIRD ","2020-07-08 00:00:00","+OEH9ZC4","","2020-09-29 14:32:40","2020-09-29 14:32:40","JAQUITAN","JAQUITAN","Facility: AMS_RPA_FACILITY circled for 40,000,000.00 EUR.","","CG852"
"+6EHA0CY","+6EHA0AZ","","PORTF","2020-07-08 00:00:00","+OEH9ZC4","","2020-09-29 14:33:01","2020-09-29 14:33:01","JAQUITAN","JAQUITAN","","","CG852"
"+6EHA0D3","+6EHA0AZ","","STA  ","2020-07-08 00:00:00","+OEH9ZC4","","2020-09-29 14:33:07","2020-09-29 14:33:07","JAQUITAN","JAQUITAN","Warnings occurred during validation: N","","CG852"
"+6EHA0D8","+6EHA0BE","","STA  ","2020-07-08 00:00:00","+OEH9ZC4","","2020-09-29 14:33:07","2020-09-29 14:33:07","JAQUITAN","JAQUITAN","Warnings occurred during validation: N","","CG852"
"+6EHA0DQ","+6EHA0BE","","PORTF","2020-07-08 00:00:00","+OEH9ZC4","","2020-09-29 14:34:10","2020-09-29 14:34:10","JAQUITAN","JAQUITAN","","","CG852"
"+WEHA0Q9","+6EHA0BE","","APRVD","2020-07-08 00:00:00","+OEH9ZC4","","2020-09-29 14:34:59","2020-09-29 14:34:59","JANICEA1","JANICEA1","","","CG852"
"+$EHA1S5","+6EHA0BE","","APPST","2020-07-08 00:00:00","+OEH9ZC4","","2020-09-29 14:38:09","2020-09-29 14:38:09","JANICEA1","JANICEA1","Approval completed.  Approver: JANICEA1, JANICEA1. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands.","","CG852"
"+?EHA24X","+6EHA0AZ","","APPST","2020-07-08 00:00:00","+OEH9ZC4","","2020-09-29 14:39:10","2020-09-29 14:39:10","JANICEA2","JANICEA2","Approval completed.  Approver: JANICEA2, JANICEA2. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands.","","CG852"
"+?EHA25C","+6EHA0AZ","","CLDT ","2020-07-08 00:00:00","+OEH9ZC4","","2020-09-29 14:39:20","2020-09-29 14:39:20","JANICEA2","JANICEA2","","","CG852"
"+?EHA25I","+6EHA0BE","","CLDT ","2020-07-08 00:00:00","+OEH9ZC4","","2020-09-29 14:39:20","2020-09-29 14:39:20","JANICEA2","JANICEA2","","","CG852"
"G)EHQGLG","VWEHQEJO","","APPST","2020-07-10 00:00:00","IREFMCO3","","2020-10-08 09:31:22","2020-10-08 09:31:22","LIQUSR02","LIQUSR02","Approval completed.  Approver: AMSTER, LIQUSER. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands.","","CG852"
"G)EHQGM7","VWEHQEJI","","APPST","2020-07-10 00:00:00","IREFMCO3","","2020-10-08 09:32:44","2020-10-08 09:32:44","LIQUSR02","LIQUSR02","Approval completed.  Approver: AMSTER, LIQUSER. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands.","","CG852"
"G)EHQGNN","VWEHQEJI","","CFREL","2020-07-10 00:00:00","IREFMCO3","","2020-10-08 09:34:33","2020-10-08 09:34:33","LIQUSR02","LIQUSR02","Cashflow from CBA AMSTERDAM(CG852), servicing group LOAN(alias:OL)(Amsterdam, Netherlands) for GBP 5,005.00.","","CG852"
"G)EHQGNL","VWEHQEJI","","CFREL","2020-07-10 00:00:00","IREFMCO3","","2020-10-08 09:34:33","2020-10-08 09:34:33","LIQUSR02","LIQUSR02","Cashflow to COMMONWEALTH BANK AU-OBU(CB022), servicing group LENDING(alias:OL)(Sydney, NSW,Australia) for EUR 2,391,150.00.  Cashflow from CBA AMSTERDAM(CG852), servicing group LOAN(alias:OL)(Amsterdam, Netherlands) for EUR 2,391,150.00.","","CG852"
"G(EHQTB5","VWEHQEJI","","CRTP ","2020-07-10 00:00:00","IREFMCO3","","2020-10-08 14:24:41","2020-10-08 14:24:41","LIQSVR02","LIQSVR02","","","CG852"
"G(EHQTB7","VWEHQEJO","","CRTP ","2020-07-10 00:00:00","IREFMCO3","","2020-10-08 14:24:41","2020-10-08 14:24:41","LIQSVR02","LIQSVR02","","","CG852"
"AKEHQURC","VWEHQEJO","","APRVD","2020-07-10 00:00:00","IREFMCO3","","2020-10-08 14:55:59","2020-10-08 14:55:59","LIQAPP04","LIQAPP04","","","CG852"
"AJEHQVO1","VWEHQEJI","","CFREL","2020-07-10 00:00:00","IREFMCO3","","2020-10-08 15:11:32","2020-10-08 15:11:32","LIQUSR03","LIQUSR03","Cashflow to COMMONWEALTH BANK AU-OBU(CB022), servicing group LENDING(alias:OL)(Sydney, NSW,Australia) for EUR 8,900.00.  Cashflow from CBA AMSTERDAM(CG852), servicing group LOAN(alias:OL)(Amsterdam, Netherlands) for EUR 8,900.00.","","CG852"
"A#EHR2JN","VWEHQEJI","","APRVD","2020-07-10 00:00:00","IREFMCO3","","2020-10-08 16:40:20","2020-10-08 16:40:20","RPTINP01","RPTINP01","","","CG852"
"K-EHSEA3","42EHSA6I","","CLDT ","2020-07-10 00:00:00","42EHS9YE","","2020-10-09 12:42:09","2020-10-09 12:42:09","LIQAPCP3","LIQAPCP3","","","CG852"
"@5EI03NE","@5EI03LF","","CIRD ","2021-03-01 00:00:00","@EEI01UV","","2020-10-13 14:45:41","2020-10-13 14:45:41","LIQUSR05","LIQUSR05","Facility: 10M_FAC_AGNCY_AUD circled for 4,000,000.00 AUD.","","CG852"
"@5EI03NK","@5EI03LF","","STSA ","2021-03-01 00:00:00","@EEI01UV","","2020-10-13 14:45:47","2020-10-13 14:45:47","LIQUSR05","LIQUSR05","Warnings occurred during validation: No","","CG852"
"@2EI04II","@5EI03EZ","","APPST","2021-03-01 00:00:00","@EEI01UV","","2020-10-13 14:47:21","2020-10-13 14:47:21","LIQSVR05","LIQSVR05","Approval completed.  Approver: AMSTERDAM, LIQSVR. Job Function: Senior Deal Administrator; Ranking: 10. Location: Amsterdam, Netherlands.","","CG852"
"VSEHQF04","VWEHQEJO","","FNDG ","","IREFMCO3","","2020-10-08 08:46:22","2020-10-08 08:46:22","LIQSVR05","LIQSVR05","Funding status changed to Funding.","","CG852"
"VSEHQF0C","VWEHQEJO","","PORTF","2020-07-10 00:00:00","IREFMCO3","","2020-10-08 08:47:04","2020-10-08 08:47:04","LIQSVR05","LIQSVR05","","","CG852"
"G(EHQR7H","VWEHQEJI","","CFCAN","2020-07-10 00:00:00","IREFMCO3","","2020-10-08 13:38:57","2020-10-08 13:38:57","LIQSVR02","LIQSVR02","Cashflow to COMMONWEALTH BANK AU-OBU(CB022), servicing group LENDING(alias:OL)(Sydney, NSW,Australia) for EUR 2,391,150.00.  Cashflow to COMMONWEALTH BANK AU-OBU(CB022), servicing group LENDING(alias:OL)(Sydney, NSW,Australia) for GBP 5,005.00.","","CG852"
"VWEHQEKZ","VWEHQEJI","","PORTF","2020-07-10 00:00:00","IREFMCO3","","2020-10-08 08:40:20","2020-10-08 08:40:20","LIQSVR04","LIQSVR04","","","CG852"
"VSEHQF03","VWEHQEJI","","FNDG ","","IREFMCO3","","2020-10-08 08:46:22","2020-10-08 08:46:22","LIQSVR05","LIQSVR05","Funding status changed to Funding.","","CG852"
"#XEHOS8A","#XEHORW0","","TGDTE","2020-07-09 00:00:00","#XEHOQ6X","","2020-10-07 12:05:47","2020-10-07 12:05:47","LIQSVR04","LIQSVR04","Delayed trigger date modified (09-Jul-2020)","","CG852"
"#XEHOS80","#XEHORW0","","CIRD ","2020-07-09 00:00:00","#XEHOQ6X","","2020-10-07 12:05:47","2020-10-07 12:05:47","LIQSVR04","LIQSVR04","Facility: RPA 100M FACILITY circled for 70,000,000.00 EUR.","","CG852"
"#:EHOSOS","#XEHORW0","","CHTYP","","#XEHOQ6X","","2020-10-07 12:15:47","2020-10-07 12:15:47","LIQSVR05","LIQSVR05","Lender share type converted from assignment to participation. Portfolio allocations removed.","","CG852"
"VWEHQEJN","VWEHQEJI","","CRTE ","","IREFMCO3","","2020-10-08 08:36:51","2020-10-08 08:36:51","LIQSVR04","LIQSVR04","","","CG852"
"VWEHQEJT","VWEHQEJO","","CRTE ","","IREFMCO3","","2020-10-08 08:36:51","2020-10-08 08:36:51","LIQSVR04","LIQSVR04","","","CG852"
"VWEHQEM0","VWEHQEJI","","CIRD ","2020-07-10 00:00:00","IREFMCO3","","2020-10-08 08:42:39","2020-10-08 08:42:39","LIQSVR04","LIQSVR04","Facility: AMS_RPA_FACILITY circled for 50,000,000.00 EUR.","","CG852"
"VWEHQEM1","VWEHQEJO","","CIRD ","2020-07-10 00:00:00","IREFMCO3","","2020-10-08 08:42:39","2020-10-08 08:42:39","LIQSVR04","LIQSVR04","Facility: AMS_RPA_FACILITY circled for 50,000,000.00 EUR.","","CG852"
"VWEHQEM7","VWEHQEJI","","STA  ","2020-07-10 00:00:00","IREFMCO3","","2020-10-08 08:42:56","2020-10-08 08:42:56","LIQSVR04","LIQSVR04","Warnings occurred during validation: N","","CG852"
"VWEHQEMA","VWEHQEJO","","STA  ","2020-07-10 00:00:00","IREFMCO3","","2020-10-08 08:42:56","2020-10-08 08:42:56","LIQSVR04","LIQSVR04","Warnings occurred during validation: N","","CG852"
"GZEHQG3M","VWEHQEJO","","APRVD","2020-07-10 00:00:00","IREFMCO3","","2020-10-08 09:25:38","2020-10-08 09:25:38","LIQSVR02","LIQSVR02","","","CG852"
"GZEHQG7E","VWEHQEJI","","FNDG ","","IREFMCO3","","2020-10-08 09:27:20","2020-10-08 09:27:20","LIQSVR02","LIQSVR02","Funding status changed to Funding/Memo Sent.","","CG852"
"GZEHQG7F","VWEHQEJO","","FNDG ","","IREFMCO3","","2020-10-08 09:27:20","2020-10-08 09:27:20","LIQSVR02","LIQSVR02","Funding status changed to Funding/Memo Sent.","","CG852"
"GZEHQG81","VWEHQEJO","","STSA ","2020-07-10 00:00:00","IREFMCO3","","2020-10-08 09:27:43","2020-10-08 09:27:43","LIQSVR02","LIQSVR02","Warnings occurred during validation: No","","CG852"
"GZEHQG83","VWEHQEJI","","STSA ","2020-07-10 00:00:00","IREFMCO3","","2020-10-08 09:27:43","2020-10-08 09:27:43","LIQSVR02","LIQSVR02","Warnings occurred during validation: No","","CG852"
"G(EHQOID","VWEHQEJI","","CFREL","2020-07-10 00:00:00","IREFMCO3","","2020-10-08 12:37:46","2020-10-08 12:37:46","LIQSVR02","LIQSVR02","Cashflow to COMMONWEALTH BANK AU-OBU(CB022), servicing group LENDING(alias:OL)(Sydney, NSW,Australia) for GBP 5,005.00.","","CG852"
