"IRI_RID_IMT_RI_MSG","IRI_CDE_MSG_TYPE","IRI_RID_REM_INSTR","IRI_TSP_REC_CREATE","IRI_TSP_REC_UPDATE","IRI_UID_REC_CREATE","IRI_UID_REC_UPDATE","IRI_CDE_INST_CODE","IRI_TXT_REG_REF","IRI_IND_USE_SRCOR","IRI_CDE_DTLS_CHGES","IRI_TXT_ADD_INFO","IRI_CDE_BNK_OP","IRI_TXT_ADD_PARTY","IRI_TXT_PAYMT_DTLS","IRI_TXT_SDR_RVR_TX","IRI_DSC_NARRATIVE","IRI_CDE_BRANCH"
"@?EFH2OH","MT103","@?EFH2O7","2020-08-25 13:44:18","2020-08-25 13:44:18","INPAMT01","INPAMT01","     ","                                   ","Y","OUR  ","","SSTD ","","","","",""
"4?EHBZ7B","MT103","4?EHBZ71","2020-09-30 15:58:00","2020-09-30 15:58:00","MIGGY_IN","MIGGY_IN","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"YXEHFARS","MT103","YXEHFARI","2020-10-02 11:21:12","2020-10-02 11:21:12","MIGGY_IN","MIGGY_IN","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"$NEI1PHJ","MT103","$NEI1PH9","2020-10-14 12:44:36","2020-10-14 12:44:36","SMANZANO","SMANZANO","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"IMEI23OY","MT210","IMEI23O3","2020-10-14 19:42:21","2020-10-14 19:42:21","JANICEA1","JANICEA1","     ","                                   ","Y","BEN  ","","","","","","",""
"IMEI23P0","MT210","IMEI23O3","2020-10-14 19:42:21","2020-10-14 19:42:21","JANICEA1","JANICEA1","     ","                                   ","Y","BEN  ","","","","","","",""
"IMEI23OQ","MT202","IMEI23O3","2020-10-14 19:42:21","2020-10-14 19:42:21","JANICEA1","JANICEA1","     ","                                   ","Y","","","","","","","",""
"IMEI23OS","MT202","IMEI23O3","2020-10-14 19:42:21","2020-10-14 19:42:21","JANICEA1","JANICEA1","     ","                                   ","Y","","","","","","","",""
"IMEI23OG","MT103","IMEI23O3","2020-10-14 19:42:21","2020-10-14 19:42:21","JANICEA1","JANICEA1","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"IMEI23OJ","MT103","IMEI23O3","2020-10-14 19:42:21","2020-10-14 19:42:21","JANICEA1","JANICEA1","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"2GEI2C9A","MT103","2GEI2C90","2020-10-14 22:36:01","2020-10-14 22:36:01","KIDUENAS","KIDUENAS","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"2GEI2CHE","MT103","2GEI2CH4","2020-10-14 22:37:14","2020-10-14 22:37:14","KIDUENAS","KIDUENAS","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"-OEI2IDQ","MT103","-OEI2IDG","2020-10-14 23:53:54","2020-10-14 23:53:54","KIDUENAS","KIDUENAS","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"-YEI2IUT","MT103","-YEI2IUJ","2020-10-14 23:54:29","2020-10-14 23:54:29","MIGGY_IN","MIGGY_IN","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"-OEI2ILU","MT103","-OEI2ILK","2020-10-14 23:55:00","2020-10-14 23:55:00","KIDUENAS","KIDUENAS","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"-YEI2J2X","MT103","-YEI2J2N","2020-10-14 23:55:30","2020-10-14 23:55:30","MIGGY_IN","MIGGY_IN","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"03EI4LEQ","MT103","03EI4LEG","2020-10-16 03:32:16","2020-10-16 03:32:16","KIDUENAS","KIDUENAS","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"03EI4LMU","MT103","03EI4LMK","2020-10-16 03:33:45","2020-10-16 03:33:45","KIDUENAS","KIDUENAS","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"0MEI4NLN","MT103","0MEI4NLD","2020-10-16 04:38:42","2020-10-16 04:38:42","KIDUENAS","KIDUENAS","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"0MEI4NTR","MT103","0MEI4NTH","2020-10-16 04:40:14","2020-10-16 04:40:14","KIDUENAS","KIDUENAS","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"*AEI52FM","MT103","*AEI52FC","2020-10-16 09:02:33","2020-10-16 09:02:33","ARFELI01","ARFELI01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"DMEJ4OY2","MT103","DMEJ4OXS","2020-11-04 14:27:07","2020-11-04 14:27:07","INPAMT01","INPAMT01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"DMEJ4P66","MT103","DMEJ4P5W","2020-11-04 14:28:18","2020-11-04 14:28:18","INPAMT01","INPAMT01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"50EH8DMQ","MT103","50EH8DMG","2020-09-28 17:05:56","2020-09-28 17:05:56","MIGGY_IN","MIGGY_IN","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"YXEHFAJO","MT103","YXEHFAJE","2020-10-02 11:20:08","2020-10-02 11:20:08","MIGGY_IN","MIGGY_IN","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"$4EHMQ1X","MT103","$4EHMQ1N","2020-10-06 11:10:07","2020-10-06 11:10:07","ARFELI01","ARFELI01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"7REHN2X6","MT103","7REHN2WW","2020-10-06 15:53:33","2020-10-06 15:53:33","INPELY01","INPELY01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"NSEHN5IW","MT103","NSEHN5IM","2020-10-06 17:52:22","2020-10-06 17:52:22","MIGGY_IN","MIGGY_IN","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"V(EHPJ21","MT103","V(EHPJ1M","2020-10-08 00:45:33","2020-10-08 00:45:33","MIGGY_IN","MIGGY_IN","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"V(EHPJA5","MT103","V(EHPJ9V","2020-10-08 00:46:38","2020-10-08 00:46:38","MIGGY_IN","MIGGY_IN","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"+PEHQGN2","MT103","+PEHQGMS","2020-10-08 12:01:48","2020-10-08 12:01:48","ARFELI01","ARFELI01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"+PEHQGV6","MT103","+PEHQGUW","2020-10-08 12:02:36","2020-10-08 12:02:36","ARFELI01","ARFELI01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"FMEHSG8P","MT103","FMEHSG8F","2020-10-09 14:30:54","2020-10-09 14:30:54","ARFELI01","ARFELI01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"FMEHSGGT","MT103","FMEHSGGJ","2020-10-09 14:31:54","2020-10-09 14:31:54","ARFELI01","ARFELI01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"FQEHSIS8","MT103","FQEHSIRY","2020-10-09 15:31:22","2020-10-09 15:31:22","ARFELI01","ARFELI01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"Z8EHSLQ0","MT103","Z8EHSLPQ","2020-10-09 16:32:32","2020-10-09 16:32:32","MIGGY_IN","MIGGY_IN","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"=+EI1JX3","MT103","=+EI1JWT","2020-10-14 11:26:20","2020-10-14 11:26:20","SMANZANO","SMANZANO","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"=+EI1K4U","MT202","=+EI1JWT","2020-10-14 11:26:28","2020-10-14 11:26:28","SMANZANO","SMANZANO","     ","                                   ","Y","","","","","","","",""
"=+EI1KBY","MT210","=+EI1JWT","2020-10-14 11:26:35","2020-10-14 11:26:35","SMANZANO","SMANZANO","     ","                                   ","Y","BEN  ","","","","","","",""
"=+EI1KFR","MT103","=+EI1KFH","2020-10-14 11:27:21","2020-10-14 11:27:21","SMANZANO","SMANZANO","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"=+EI1KNI","MT202","=+EI1KFH","2020-10-14 11:27:27","2020-10-14 11:27:27","SMANZANO","SMANZANO","     ","                                   ","Y","","","","","","","",""
"=+EI1KUM","MT210","=+EI1KFH","2020-10-14 11:27:32","2020-10-14 11:27:32","SMANZANO","SMANZANO","     ","                                   ","Y","BEN  ","","","","","","",""
"$.EI1KYD","MT103","$.EI1KY3","2020-10-14 12:00:35","2020-10-14 12:00:35","DANUSR01","DANUSR01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"$.EI1L6H","MT103","$.EI1L67","2020-10-14 12:01:30","2020-10-14 12:01:30","DANUSR01","DANUSR01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"$NEI1PPA","MT202","$NEI1PH9","2020-10-14 12:44:43","2020-10-14 12:44:43","SMANZANO","SMANZANO","     ","                                   ","Y","","","","","","","",""
"$NEI1PWE","MT210","$NEI1PH9","2020-10-14 12:44:48","2020-10-14 12:44:48","SMANZANO","SMANZANO","     ","                                   ","Y","BEN  ","","","","","","",""
"ILEI272O","MT103","ILEI272E","2020-10-14 20:15:24","2020-10-14 20:15:24","DANUSR01","DANUSR01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"IMEI23GV","MT103","IMEI23GI","2020-10-14 19:36:17","2020-10-14 19:36:17","JANICEA1","JANICEA1","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"IMEI23GY","MT103","IMEI23GI","2020-10-14 19:36:17","2020-10-14 19:36:17","JANICEA1","JANICEA1","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"IMEI23H5","MT202","IMEI23GI","2020-10-14 19:36:17","2020-10-14 19:36:17","JANICEA1","JANICEA1","     ","                                   ","Y","","","","","","","",""
"IMEI23H7","MT202","IMEI23GI","2020-10-14 19:36:17","2020-10-14 19:36:17","JANICEA1","JANICEA1","     ","                                   ","Y","","","","","","","",""
"IMEI23HD","MT210","IMEI23GI","2020-10-14 19:36:17","2020-10-14 19:36:17","JANICEA1","JANICEA1","     ","                                   ","Y","BEN  ","","","","","","",""
"IMEI23HF","MT210","IMEI23GI","2020-10-14 19:36:17","2020-10-14 19:36:17","JANICEA1","JANICEA1","     ","                                   ","Y","BEN  ","","","","","","",""
"ILEI26UK","MT103","ILEI26UA","2020-10-14 20:14:36","2020-10-14 20:14:36","DANUSR01","DANUSR01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"!4EI5S15","MT103","!4EI5S0V","2020-10-16 18:17:57","2020-10-16 18:17:57","KIDUENAS","KIDUENAS","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"!4EI5S99","MT103","!4EI5S8Z","2020-10-16 18:19:01","2020-10-16 18:19:01","KIDUENAS","KIDUENAS","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
")WEIASQE","MT103",")WEIASQ4","2020-10-19 12:08:48","2020-10-19 12:08:48","ARFELI01","ARFELI01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"1REJ2TMR","MT103","1REJ2TMH","2020-11-03 15:26:18","2020-11-03 15:26:18","INPAMT01","INPAMT01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"1REJ2TUV","MT103","1REJ2TUL","2020-11-03 15:27:41","2020-11-03 15:27:41","INPAMT01","INPAMT01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"(OEJLFA9","MT103","(OEJLF9Z","2020-11-13 15:30:14","2020-11-13 15:30:14","INPAMT02","INPAMT02","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"(OEJLFID","MT103","(OEJLFI3","2020-11-13 15:31:08","2020-11-13 15:31:08","INPAMT02","INPAMT02","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"(CEHFUR4","MT103","(CEHFUQU","2020-10-02 17:41:40","2020-10-02 17:41:40","FI717102","FI717102","     ","                                   ","Y","BEN  ","","SPAY ","","","","",""
"W:EHL8VT","MT103","W:EHL8VJ","2020-10-05 16:28:26","2020-10-05 16:28:26","MIGGY_IN","MIGGY_IN","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"?EEHN5JH","MT103","?EEHN5J7","2020-10-06 14:03:10","2020-10-06 14:03:10","LIQUSR05","LIQUSR05","     ","                                   ","Y","BEN  ","","SSTD ","","","","",""
"(GEHFYMO","MT103","(GEHFYME","2020-10-02 20:16:45","2020-10-02 20:16:45","MIGGY_IN","MIGGY_IN","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"(GEHFYUS","MT103","(GEHFYUI","2020-10-02 20:17:43","2020-10-02 20:17:43","MIGGY_IN","MIGGY_IN","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"?SEHMV3D","MT103","?SEHMV33","2020-10-06 14:11:23","2020-10-06 14:11:23","ARFELI01","ARFELI01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"N1EHN7GK","MT103","N1EHN7GA","2020-10-06 17:39:37","2020-10-06 17:39:37","ARFELI01","ARFELI01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
":JEHOOF2","MT103",":JEHOOES","2020-10-07 12:49:00","2020-10-07 12:49:00","MIGGY_IN","MIGGY_IN","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
":JEHOON6","MT103",":JEHOOMW","2020-10-07 12:49:57","2020-10-07 12:49:57","MIGGY_IN","MIGGY_IN","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
":IEHOR7V","MT103",":IEHOR7L","2020-10-07 14:39:03","2020-10-07 14:39:03","LIQUSR03","LIQUSR03","     ","                                   ","Y","BEN  ","","SPAY ","","","","",""
":IEHORFM","MT202",":IEHOR7L","2020-10-07 14:39:11","2020-10-07 14:39:11","LIQUSR03","LIQUSR03","     ","                                   ","Y","","","","","","","",""
"LOEHP0BE","MT103","LOEHP0B4","2020-10-07 17:16:28","2020-10-07 17:16:28","CESSINP1","CESSINP1","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"LOEHP0JI","MT103","LOEHP0J8","2020-10-07 17:17:37","2020-10-07 17:17:37","CESSINP1","CESSINP1","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"L#EHP7ZH","MT103","L#EHP7Z7","2020-10-07 19:39:46","2020-10-07 19:39:46","CESSINP1","CESSINP1","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"L+EHP9UY","MT103","L+EHP9UO","2020-10-07 20:30:57","2020-10-07 20:30:57","CESSINP1","CESSINP1","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"G$EHQMN0","MT103","?EEHN6A0","2020-10-08 10:50:24","2020-10-08 10:50:24","LIQSVR04","LIQSVR04","     ","                                   ","Y","BEN  ","","SSTD ","","","","",""
"G$EHQN8N","MT202","?EEHN6A0","2020-10-08 10:51:37","2020-10-08 10:51:37","LIQSVR04","LIQSVR04","     ","                                   ","Y","","","","","","","",""
"A@EHQNSK","MT103","A@EHQNSA","2020-10-08 15:21:44","2020-10-08 15:21:44","MIGGY_IN","MIGGY_IN","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"ACEHQQKJ","MT103","ACEHQQK9","2020-10-08 15:23:27","2020-10-08 15:23:27","CESSINP1","CESSINP1","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"Z8EHSLHW","MT103","Z8EHSLHE","2020-10-09 16:31:18","2020-10-09 16:31:18","MIGGY_IN","MIGGY_IN","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"HKEI11F5","MT103","HKEI11EV","2020-10-14 04:50:57","2020-10-14 04:50:57","DANUSR01","DANUSR01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"HKEI11N9","MT103","HKEI11MZ","2020-10-14 04:51:55","2020-10-14 04:51:55","DANUSR01","DANUSR01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"=UEI13FL","MT103","=UEI13FB","2020-10-14 06:20:18","2020-10-14 06:20:18","DANUSR01","DANUSR01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"=UEI13NP","MT103","=UEI13NF","2020-10-14 06:21:21","2020-10-14 06:21:21","DANUSR01","DANUSR01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"D3EI1N07","MT103","D3EI1MZP","2020-10-14 13:42:29","2020-10-14 13:42:29","JAQUITAN","JAQUITAN","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"D3EI1N7Y","MT202","D3EI1MZP","2020-10-14 13:42:35","2020-10-14 13:42:35","JAQUITAN","JAQUITAN","     ","                                   ","Y","","","","","","","",""
"DVEI1YRB","MT210","D#EI1W1R","2020-10-14 14:13:52","2020-10-14 14:13:52","SMANZANO","SMANZANO","     ","                                   ","Y","BEN  ","","","","","","",""
"3FEICQML","MT103","3FEICQMB","2020-10-20 12:10:08","2020-10-20 12:10:08","DANUSR01","DANUSR01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"3FEICQUP","MT103","3FEICQUF","2020-10-20 12:11:10","2020-10-20 12:11:10","DANUSR01","DANUSR01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"CUEIDBU2","MT103","CUEIDBTS","2020-10-20 19:46:34","2020-10-20 19:46:34","MIGGY_IN","MIGGY_IN","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"O5EIT5NI","MT103","O5EIT5N8","2020-10-29 08:58:22","2020-10-29 08:58:22","INPALN01","INPALN01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"O5EIT5VM","MT103","O5EIT5VC","2020-10-29 08:59:55","2020-10-29 08:59:55","INPALN01","INPALN01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"JWEITFEQ","MT103","JWEITFEG","2020-10-29 12:09:14","2020-10-29 12:09:14","INPAMT01","INPAMT01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"JWEITFMU","MT103","JWEITFMK","2020-10-29 12:10:21","2020-10-29 12:10:21","INPAMT01","INPAMT01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
";FEIU5W5","MT103",";FEIU5VV","2020-10-29 22:02:08","2020-10-29 22:02:08","INPAMT01","INPAMT01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
";FEIU649","MT103",";FEIU63Z","2020-10-29 22:03:15","2020-10-29 22:03:15","INPAMT01","INPAMT01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"RJEIUHGN","MT103","RJEIUHGD","2020-10-30 02:05:09","2020-10-30 02:05:09","INPRON01","INPRON01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"RJEIUHOR","MT103","RJEIUHOH","2020-10-30 02:05:51","2020-10-30 02:05:51","INPRON01","INPRON01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"RQEIVBL9","MT103","RQEIVBKZ","2020-10-30 12:55:52","2020-10-30 12:55:52","INPRON01","INPRON01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"RQEIVBTD","MT103","RQEIVBT3","2020-10-30 12:56:34","2020-10-30 12:56:34","INPRON01","INPRON01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"M-EIVJV8","MT103","M-EIVJUY","2020-10-30 15:49:34","2020-10-30 15:49:34","INPAMT01","INPAMT01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"M-EIVK3C","MT103","M-EIVK32","2020-10-30 15:50:35","2020-10-30 15:50:35","INPAMT01","INPAMT01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"W!EIVMYV","MT103","W!EIVMYL","2020-10-30 17:12:31","2020-10-30 17:12:31","INPAMT01","INPAMT01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"W!EIVN6Z","MT103","W!EIVN6P","2020-10-30 17:13:55","2020-10-30 17:13:55","INPAMT01","INPAMT01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"*FEGNYTF","MT103","*FEGNYT5","2020-09-17 16:56:53","2020-09-17 16:56:53","LIQUSR03","LIQUSR03","     ","                                   ","Y","BEN  ","","SPAY ","","","","",""
"*FEGNZ16","MT202","*FEGNYT5","2020-09-17 16:56:58","2020-09-17 16:56:58","LIQUSR03","LIQUSR03","     ","                                   ","Y","","","","","","","",""
"*FEGO07M","MT103","*FEGO07C","2020-09-17 17:00:24","2020-09-17 17:00:24","LIQUSR03","LIQUSR03","     ","                                   ","Y","BEN  ","","SPAY ","","","","",""
"*FEGO0JJ","MT202","*FEGO07C","2020-09-17 17:00:32","2020-09-17 17:00:32","LIQUSR03","LIQUSR03","     ","                                   ","Y","","","","","","","",""
"Q-EH8CTE","MT103","Q-EH8CT4","2020-09-28 15:32:59","2020-09-28 15:32:59","LIQUSR05","LIQUSR05","     ","                                   ","Y","BEN  ","","SSTD ","","","","",""
"Q-EH8E5K","MT103","Q-EH8DH0","2020-09-28 15:56:28","2020-09-28 15:56:28","LIQUSR05","LIQUSR05","     ","                                   ","Y","BEN  ","","SSTD ","","","","",""
"Q-EH8DAN","MT210","Q-EH8CT4","2020-09-28 15:33:30","2020-09-28 15:33:30","LIQUSR05","LIQUSR05","     ","                                   ","Y","BEN  ","","","","","","",""
"Q-EH8EXF","MT202","Q-EH8DH0","2020-09-28 15:58:00","2020-09-28 15:58:00","LIQUSR05","LIQUSR05","     ","                                   ","Y","","","","","","","",""
"@EEI01X2","MT103","@EEI01WS","2020-10-13 14:07:54","2020-10-13 14:07:54","LIQUSR05","LIQUSR05","     ","                                   ","Y","BEN  ","","SSTD ","","","","",""
"CUEIDC26","MT103","CUEIDC1W","2020-10-20 19:47:37","2020-10-20 19:47:37","MIGGY_IN","MIGGY_IN","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"1TEIEUT6","MT103","1TEIEUSW","2020-10-21 15:34:22","2020-10-21 15:34:22","INPAMT01","INPAMT01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"1TEIEV1A","MT103","1TEIEV10","2020-10-21 15:35:27","2020-10-21 15:35:27","INPAMT01","INPAMT01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"Q;EIIUO5","MT103","Q;EIIUNV","2020-10-23 19:50:42","2020-10-23 19:50:42","INPALN01","INPALN01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"Q;EIIUW9","MT103","Q;EIIUVZ","2020-10-23 19:51:58","2020-10-23 19:51:58","INPALN01","INPALN01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"+-EIPM4G","MT103","+-EIPM46","2020-10-27 11:28:29","2020-10-27 11:28:29","INPAMT01","INPAMT01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"+-EIPMCK","MT103","+-EIPMCA","2020-10-27 11:29:39","2020-10-27 11:29:39","INPAMT01","INPAMT01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
")1EIRR9S","MT103",")1EIRR9I","2020-10-28 15:57:15","2020-10-28 15:57:15","INPRON01","INPRON01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
")1EIRRHW","MT103",")1EIRRHM","2020-10-28 15:57:57","2020-10-28 15:57:57","INPRON01","INPRON01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"YPEITA7E","MT103","YPEITA74","2020-10-29 10:33:22","2020-10-29 10:33:22","INPAMT01","INPAMT01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"YPEITAFI","MT103","YPEITAF8","2020-10-29 10:34:24","2020-10-29 10:34:24","INPAMT01","INPAMT01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"Y(EITCUC","MT103","Y(EITCU2","2020-10-29 11:20:53","2020-10-29 11:20:53","INPAMT01","INPAMT01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"WAEIENLI","MT103","WAEIENL8","2020-10-21 13:42:43","2020-10-21 13:42:43","INPAMT01","INPAMT01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"WAEIENTM","MT103","WAEIENTC","2020-10-21 13:43:50","2020-10-21 13:43:50","INPAMT01","INPAMT01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"QOEIISGB","MT103","QOEIISG1","2020-10-23 19:03:14","2020-10-23 19:03:14","INPALN01","INPALN01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"QOEIISOF","MT103","QOEIISO5","2020-10-23 19:04:29","2020-10-23 19:04:29","INPALN01","INPALN01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"*FEGNZ8N","MT103","*FEGNZ8D","2020-09-17 16:57:29","2020-09-17 16:57:29","LIQUSR03","LIQUSR03","     ","                                   ","Y","BEN  ","","SPAY ","","","","",""
"*FEGNZGE","MT202","*FEGNZ8D","2020-09-17 16:57:34","2020-09-17 16:57:34","LIQUSR03","LIQUSR03","     ","                                   ","Y","","","","","","","",""
"*FEGNZNV","MT103","*FEGNZNL","2020-09-17 16:58:55","2020-09-17 16:58:55","LIQUSR03","LIQUSR03","     ","                                   ","Y","BEN  ","","SPAY ","","","","",""
"*FEGNZZS","MT202","*FEGNZNL","2020-09-17 16:59:07","2020-09-17 16:59:07","LIQUSR03","LIQUSR03","     ","                                   ","Y","","","","","","","",""
"5NEH8919","MT103","5NEH890Z","2020-09-28 16:46:38","2020-09-28 16:46:38","INPELY01","INPELY01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"5NEH899D","MT103","5NEH8993","2020-09-28 16:47:41","2020-09-28 16:47:41","INPELY01","INPELY01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"50EH8DUU","MT103","50EH8DUK","2020-09-28 17:06:57","2020-09-28 17:06:57","MIGGY_IN","MIGGY_IN","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"TAEHE262","MT103","TAEHE25S","2020-10-01 18:56:20","2020-10-01 18:56:20","MIGGY_IN","MIGGY_IN","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"TAEHE2E6","MT103","TAEHE2DW","2020-10-01 18:57:31","2020-10-01 18:57:31","MIGGY_IN","MIGGY_IN","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"7OEHMYIF","MT103","7OEHMYI5","2020-10-06 15:23:06","2020-10-06 15:23:06","ARFELI01","ARFELI01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"7REHN2P2","MT103","7REHN2OS","2020-10-06 15:52:15","2020-10-06 15:52:15","INPELY01","INPELY01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"7QEHN4RR","MT103","7QEHN4RH","2020-10-06 16:26:18","2020-10-06 16:26:18","ARFELI01","ARFELI01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"BNEHOJLW","MT103","BNEHOJLM","2020-10-07 11:28:57","2020-10-07 11:28:57","ARFELI01","ARFELI01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"QIEHOXEY","MT103","QIEHOXEO","2020-10-07 15:48:12","2020-10-07 15:48:12","CESSINP1","CESSINP1","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"L#EHP7RD","MT103","L#EHP7R3","2020-10-07 19:38:34","2020-10-07 19:38:34","CESSINP1","CESSINP1","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"L+EHP9MU","MT103","L+EHP9MK","2020-10-07 20:29:44","2020-10-07 20:29:44","CESSINP1","CESSINP1","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"FQEHSJ0C","MT103","FQEHSJ02","2020-10-09 15:32:18","2020-10-09 15:32:18","ARFELI01","ARFELI01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"YEEHYO1I","MT103","YEEHYO18","2020-10-12 22:48:43","2020-10-12 22:48:43","MIGGY_IN","MIGGY_IN","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"YEEHYO9M","MT103","YEEHYO9C","2020-10-12 22:49:56","2020-10-12 22:49:56","MIGGY_IN","MIGGY_IN","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
";UEI0657","MT103",";UEI0618","2020-10-13 18:39:02","2020-10-13 18:39:02","SMANZANO","SMANZANO","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
