"APS_RID_ACR_PMT_SG","APS_RID_ACR_CY_PMT","APS_CID_LENDER","APS_RID_LENDER_SG","APS_AMT_SHARE","APS_UID_REC_CREATE","APS_UID_REC_UPDATE","APS_TSP_REC_CREATE","APS_TSP_REC_UPDATE","APS_CDE_BRANCH"
"+.EHBL7K","+.EHBL7G","E2E4RAUV","@ME4QUQW","2.08","LIQUSR05","LIQUSR05","2020-09-30 10:02:20","2020-09-30 10:02:20","CG852"
"4FEHBZWD","4FEHBZSQ","AMDPAOVM","@*DZF8KQ","1000","CFRANCIS","CFRANCIS","2020-09-30 17:21:56","2020-09-30 17:21:56",""
"9OEHDKOF","9OEHDKOB","E2E4RAUV","@ME4QUQW","1.69","LIQUSR05","LIQUSR05","2020-10-01 10:53:07","2020-10-01 10:53:07","CG852"
".@EHDVYS",".@EHDVYD","E2E4RAUV","@ME4QUQW","500","LIQUSR03","LIQUSR03","2020-10-01 16:50:50","2020-10-01 16:50:50",""
")7EHDKMF",")7EHDKM1","E2E4RAUV","@ME4QUQW","-756164.38","SMANZANO","SMANZANO","2020-10-01 12:36:51","2020-10-01 12:36:51","CG852"
".4EHDWCU",".4EHDWCG","E2E4RAUV","@ME4QUQW","-756164.38","SMANZANO","SMANZANO","2020-10-01 18:00:39","2020-10-01 18:00:39","CG852"
".:EHDZNG",".:EHDZN2","E2E4RAUV","@ME4QUQW","-756164.38","MANZANOS","MANZANOS","2020-10-01 19:10:27","2020-10-01 19:10:27","CG852"
"#NEHOCTP","#NEHOCTE","E2E4RAUV","@ME4QUQW","100","LIQUSR03","LIQUSR03","2020-10-07 09:19:05","2020-10-07 09:19:05","CG852"
"#VEHODNM","#VEHODNG","E2E4RAUV","@ME4QUQW","-100","LIQUSR03","LIQUSR03","2020-10-07 09:32:03","2020-10-07 09:32:03","CG852"
":IEHOQM4",":IEHOQLK","AMDPAOVM","@*DZF8KS","9900","LIQUSR03","LIQUSR03","2020-10-07 14:31:04","2020-10-07 14:31:04",""
"L)EHP1BD","L)EHP1B9","E2E4RAUV","@ME4QUQW","0.51","RPTSUP01","RPTSUP01","2020-10-07 17:40:41","2020-10-07 17:40:41","CG852"
"F)EHSGZ6","F)EHSGZ1","E2E4RAUV","@ME4QUQW","39.45","MANZANOM","MANZANOM","2020-10-09 14:49:18","2020-10-09 14:49:18","CG852"
"C(EHZYB8","C(EHZYAT","E2E4RAUV","@ME4QUQW","764876.71","JAQUITAN","JAQUITAN","2020-10-13 15:14:02","2020-10-13 15:14:02","CG852"
"JIEHZQTM","JIEHZQTH","E2E4RAUV","@ME4QUQW","1.13","LIQUSR05","LIQUSR05","2020-10-13 08:58:54","2020-10-13 08:58:54","CG852"
"C8EI04I7","C8EI04HY","E2E4RAUV","@ME4QUQW","500","LIQUSR05","LIQUSR05","2020-10-13 14:59:12","2020-10-13 14:59:12",""
"C@EHZYSP","C@EHZYSC","E2E4RAUV","@ME4QUQW","-764876.71","JANICEA1","JANICEA1","2020-10-13 15:21:37","2020-10-13 15:21:37","CG852"
"CDEI014O","CDEI0149","E2E4RAUV","@ME4QUQW","100821.92","JAQUITAN","JAQUITAN","2020-10-13 16:18:08","2020-10-13 16:18:08","CG852"
"Q=EI3LC4","Q=EI3LBZ","E2E4RAUV","@ME4QUQW","135.04","LIQUSR03","LIQUSR03","2020-10-15 14:43:47","2020-10-15 14:43:47","CG852"
"17EJ2Z94","17EJ2Z8P","E2E4RAUV","@ME4QUQW","662786.12","JAQUITAN","JAQUITAN","2020-11-03 16:13:42","2020-11-03 16:13:42","CG852"
"NREJ852N","NREJ852A","E2E4RAUV","@ME4QUQW","113424.66","RPTINP01","RPTINP01","2020-11-06 11:04:38","2020-11-06 11:04:38","CG852"
"T0EJJECN","T0EJJECE","AMDPAOVM","@*DZF8KQ","10","INPAMT01","INPAMT01","2020-11-12 14:19:10","2020-11-12 14:19:10",""
"T0EJJEBP","T0EJJEBH","AMDPAOVM","@*DZF8KQ","10","INPAMT01","INPAMT01","2020-11-12 14:19:10","2020-11-12 14:19:10",""
"CZEJLR9U","CZEJLR9M","AMDPAOVM","@*DZF8KQ","10","INPAMT01","INPAMT01","2020-11-13 19:33:34","2020-11-13 19:33:34",""
"CZEJLRAS","CZEJLRAJ","AMDPAOVM","@*DZF8KQ","10","INPAMT01","INPAMT01","2020-11-13 19:33:34","2020-11-13 19:33:34",""
"+OEH9ZAD","+OEH9Z95","E2E4RAUV","@ME4QUQW","10000","JAQUITAN","JAQUITAN","2020-09-29 14:08:32","2020-09-29 14:08:32","CG852"
"+REH9YTA","+REH9YQF","E2E4RAUV","@ME4QUQW","0.59","CMARTILL","CMARTILL","2020-09-29 15:03:07","2020-09-29 15:03:07","CG852"
"*$EHA9FK","*$EHA9FG","E2E4RAUV","@ME4QUQW","40.27","SMANZANO","SMANZANO","2020-09-29 17:53:16","2020-09-29 17:53:16","CG852"
"4BEHC335","4BEHC32S","E2E4RAUV","@ME4QUQW","7561.64","JAQUITAN","JAQUITAN","2020-09-30 17:13:55","2020-09-30 17:13:55","CG852"
"9.EHDFAE","9.EHDFA7","E2E4RAUV","@ME4QUQW","-1000","JANICEA1","JANICEA1","2020-10-01 10:16:07","2020-10-01 10:16:07",""
"9.EHDFA2","9.EHDF9R","E2E4RAUV","@ME4QUQW","-1000","JANICEA1","JANICEA1","2020-10-01 10:16:07","2020-10-01 10:16:07",""
"9OEHDMVZ","9OEHDMVD","E2E4RAUV","@ME4QUQW","0","LIQUSR05","LIQUSR05","2020-10-01 12:35:51","2020-10-01 12:35:51",""
")#EHDPLA",")#EHDPJM","E2E4RAUV","@ME4QUQW","-756164.38","MANZANOS","MANZANOS","2020-10-01 15:34:37","2020-10-01 15:34:37","CG852"
"T$EHE3F0","T$EHE3EN","AMDPAOVM","@*DZF8KS","100","FI717102","FI717102","2020-10-01 20:29:11","2020-10-01 20:29:11",""
";;EHJ6NK",";;EHJ6MC","E2E4RAUV","@ME4QUQW","0.78","CMARTILL","CMARTILL","2020-10-04 14:31:35","2020-10-04 14:31:35","CG852"
";REHIZTC",";REHIZSM","E2E4RAUV","@ME4QUQW","0","RPTSUP01","RPTSUP01","2020-10-04 11:30:43","2020-10-04 11:30:43",""
";;EHJ0OL",";;EHJ0O6","E2E4RAUV","@ME4QUQW","0.78","CMARTILL","CMARTILL","2020-10-04 12:22:35","2020-10-04 12:22:35","CG852"
"#XEHOMDO","#XEHOMCY","E2E4RAUV","@ME4QUQW","0","LIQSVR04","LIQSVR04","2020-10-07 08:43:23","2020-10-07 08:43:23",""
"A.EHQQ7X","A.EHQQ7O","AMDPAOVM","@*DZF8KS","273.97","FI717102","FI717102","2020-10-08 15:03:33","2020-10-08 15:03:33",""
"A.EHQQCS","A.EHQQCK","AMDPAOVM","@*DZF8KS","-273.97","FI717102","FI717102","2020-10-08 15:20:04","2020-10-08 15:20:04",""
"43EHS5T7","43EHS5T2","E2E4RAUV","@ME4QUQW","210.96","SMANZANO","SMANZANO","2020-10-09 09:29:56","2020-10-09 09:29:56","CG852"
"JIEHZQYY","JIEHZQYU","E2E4RAUV","@ME4QUQW","0.76","LIQUSR05","LIQUSR05","2020-10-13 09:23:39","2020-10-13 09:23:39","CG852"
"DVEI1YYS","DVEI1YYF","E2E4RAUV","@ME4QUQW","1000","SMANZANO","SMANZANO","2020-10-14 14:36:44","2020-10-14 14:36:44",""
"I2EI24SK","I2EI24S6","E2E4RAUV","@ME4QUQW","0","JAQUITAN","JAQUITAN","2020-10-14 19:46:06","2020-10-14 19:46:06",""
"2(EI28U3","2(EI28TN","AMDPAOVM","@*DZF8KS","0","MGRAMT01","MGRAMT01","2020-10-14 20:52:18","2020-10-14 20:52:18",""
"2(EI28U4","2(EI28TN","FPE4MRNP","FPE4MSO6","0","MGRAMT01","MGRAMT01","2020-10-14 20:52:18","2020-10-14 20:52:18",""
"2(EI28U5","2(EI28TN","(KE4Q19S","M.EFIAQS","0","MGRAMT01","MGRAMT01","2020-10-14 20:52:18","2020-10-14 20:52:18",""
"BAEI3H2P","BAEI3H17","E2E4RAUV","@ME4QUQW","10.13","LIQUSR05","LIQUSR05","2020-10-15 10:28:42","2020-10-15 10:28:42",""
"3.EITKXE","3.EITKX3","AMDPAOVM","@*DZF8KS","3000","INPALN01","INPALN01","2020-10-29 14:16:53","2020-10-29 14:16:53",""
"N7EJUHYO","N7EJUHY9","E2E4RAUV","@ME4QUQW","662786.12","JAQUITAN","JAQUITAN","2020-11-18 12:48:39","2020-11-18 12:48:39","CG852"
"N#EJUIWV","N#EJUIWG","E2E4RAUV","@ME4QUQW","73977.15","CMARTILL","CMARTILL","2020-11-18 13:07:50","2020-11-18 13:07:50","CG852"
"N:EJUJQ8","N:EJUJPX","AMDPAOVM","@*DZF8KS","9397.26","DANUSR01","DANUSR01","2020-11-18 14:33:31","2020-11-18 14:33:31",""
"N:EJUJPQ","N:EJUJP8","AMDPAOVM","@*DZF8KS","9397.26","DANUSR01","DANUSR01","2020-11-18 14:33:31","2020-11-18 14:33:31",""
"N:EJUMF0","N:EJUMEP","AMDPAOVM","@*DZF8KS","9397.26","DANUSR01","DANUSR01","2020-11-18 15:44:51","2020-11-18 15:44:51",""
"N:EJUMEI","N:EJUMD2","AMDPAOVM","@*DZF8KS","9397.26","DANUSR01","DANUSR01","2020-11-18 15:44:51","2020-11-18 15:44:51",""
"UBEK58ZN","UBEK58Z5","AMDPAOVM","@*DZF8KS","9397.26","JOBSUPER","JOBSUPER","2020-11-24 09:23:57","2020-11-24 09:23:57",""
"UBEK5905","UBEK58ZU","AMDPAOVM","@*DZF8KS","9397.26","JOBSUPER","JOBSUPER","2020-11-24 09:23:57","2020-11-24 09:23:57",""
