"PHC_RID_CALENDAR","PHC_IND_BORR_INT","PHC_CDE_CALENDAR","PHC_IND_EFFEC_DATE","PHC_IND_FXRATE_STG","PHC_IND_INTRTE_STG","PHC_RID_OWNER","PHC_CDE_OWNER_TYPE","PHC_IND_PADV_DATES","PHC_IND_BILLING","PHC_TSP_REC_CREATE","PHC_TSP_REC_UPDATE","PHC_UID_REC_CREATE","PHC_UID_REC_UPDATE","PHC_CDE_BRANCH"
":YEI3DXM","Y","NOOSL","Y","Y","Y",":YEI3DWN","DEA  ","Y","Y","2020-10-15 12:18:34","2020-10-15 12:18:34","CESSINP1","CESSINP1","CG852"
":YEI3DXN","Y","USNYC","Y","Y","Y",":YEI3DWN","DEA  ","Y","Y","2020-10-15 12:18:58","2020-10-15 12:18:58","CESSINP1","CESSINP1","CG852"
":YEI3F1G","Y","NLAMS","Y","Y","Y",":YEI3F1E","DEA  ","Y","Y","2020-10-15 12:44:51","2020-10-15 12:44:51","CESSINP1","CESSINP1","CG852"
":YEI3FC9","Y","AUSYD","Y","Y","Y",":YEI3F1E","DEA  ","Y","Y","2020-10-15 12:51:22","2020-10-15 12:51:22","CESSINP1","CESSINP1","CG852"
":YEI3FCY","Y","GBLON","Y","Y","Y",":YEI3F1E","DEA  ","Y","Y","2020-10-15 12:51:46","2020-10-15 12:51:46","CESSINP1","CESSINP1","CG852"
":YEI3FE9","Y","NOOSL","Y","Y","Y",":YEI3F1E","DEA  ","Y","Y","2020-10-15 12:52:34","2020-10-15 12:52:34","CESSINP1","CESSINP1","CG852"
":YEI3FEY","Y","USNYC","Y","Y","Y",":YEI3F1E","DEA  ","Y","Y","2020-10-15 12:52:58","2020-10-15 12:52:58","CESSINP1","CESSINP1","CG852"
":YEI3G9S","Y","NLAMS","Y","Y","Y",":YEI3G9Q","DEA  ","Y","Y","2020-10-15 13:11:28","2020-10-15 13:11:28","CESSINP1","CESSINP1","CG852"
":YEI3GKQ","Y","AUSYD","Y","Y","Y",":YEI3G9Q","DEA  ","Y","Y","2020-10-15 13:18:04","2020-10-15 13:18:04","CESSINP1","CESSINP1","CG852"
":YEI3GLG","Y","GBLON","Y","Y","Y",":YEI3G9Q","DEA  ","Y","Y","2020-10-15 13:18:29","2020-10-15 13:18:29","CESSINP1","CESSINP1","CG852"
":YEI3GMQ","Y","NOOSL","Y","Y","Y",":YEI3G9Q","DEA  ","Y","Y","2020-10-15 13:19:15","2020-10-15 13:19:15","CESSINP1","CESSINP1","CG852"
":YEI3GNE","Y","USNYC","Y","Y","Y",":YEI3G9Q","DEA  ","Y","Y","2020-10-15 13:19:39","2020-10-15 13:19:39","CESSINP1","CESSINP1","CG852"
":YEI3J7J","Y","NLAMS","Y","Y","Y",":YEI3J7H","DEA  ","Y","Y","2020-10-15 14:14:55","2020-10-15 14:14:55","CESSINP1","CESSINP1","CG852"
":YEI3JIU","Y","AUSYD","Y","Y","Y",":YEI3J7H","DEA  ","Y","Y","2020-10-15 14:21:44","2020-10-15 14:21:44","CESSINP1","CESSINP1","CG852"
":YEI3JJK","Y","GBLON","Y","Y","Y",":YEI3J7H","DEA  ","Y","Y","2020-10-15 14:22:09","2020-10-15 14:22:09","CESSINP1","CESSINP1","CG852"
":YEI3JKX","Y","NOOSL","Y","Y","Y",":YEI3J7H","DEA  ","Y","Y","2020-10-15 14:22:58","2020-10-15 14:22:58","CESSINP1","CESSINP1","CG852"
":YEI3JLL","Y","USNYC","Y","Y","Y",":YEI3J7H","DEA  ","Y","Y","2020-10-15 14:23:23","2020-10-15 14:23:23","CESSINP1","CESSINP1","CG852"
":YEI3LND","Y","NLAMS","Y","Y","Y",":YEI3LNB","DEA  ","Y","Y","2020-10-15 15:07:38","2020-10-15 15:07:38","CESSINP1","CESSINP1","CG852"
":YEI3LY9","Y","AUSYD","Y","Y","Y",":YEI3LNB","DEA  ","Y","Y","2020-10-15 15:14:12","2020-10-15 15:14:12","CESSINP1","CESSINP1","CG852"
":YEI3LYZ","Y","GBLON","Y","Y","Y",":YEI3LNB","DEA  ","Y","Y","2020-10-15 15:14:36","2020-10-15 15:14:36","CESSINP1","CESSINP1","CG852"
":YEI3M09","Y","NOOSL","Y","Y","Y",":YEI3LNB","DEA  ","Y","Y","2020-10-15 15:15:23","2020-10-15 15:15:23","CESSINP1","CESSINP1","CG852"
":YEI3M0Y","Y","USNYC","Y","Y","Y",":YEI3LNB","DEA  ","Y","Y","2020-10-15 15:15:48","2020-10-15 15:15:48","CESSINP1","CESSINP1","CG852"
";0EGHUE2","Y","NLAMS","Y","Y","Y",";0EGHUE1","OST  ","Y","Y","2020-09-14 09:20:50","2020-09-14 09:20:50","LOANIQ01","LOANIQ01","CG852"
";1EI07P1","Y","NLAMS","Y","Y","Y",";1EI07P0","OST  ","Y","Y","2020-10-13 19:03:20","2020-10-13 19:03:20","CMARTILL","CMARTILL","CG852"
";;EHIZTB","Y","NLAMS","Y","Y","Y",";;EHIZTA","OST  ","Y","Y","2020-10-04 12:03:57","2020-10-04 12:03:57","CMARTILL","CMARTILL","CG852"
";UEI04RK","Y","NLAMS","Y","Y","Y",";UEI04RJ","OST  ","Y","Y","2020-10-13 18:17:13","2020-10-13 18:17:13","SMANZANO","SMANZANO","CG852"
"=;EJ2YX2","Y","NLAMS","Y","Y","Y","=;EJ2YX1","OST  ","Y","Y","2020-11-03 19:53:31","2020-11-03 19:53:31","C116594 ","C116594 ","CG852"
"=REHMM73","Y","NLAMS","Y","Y","Y","=REHMM72","OST  ","Y","Y","2020-10-06 10:13:18","2020-10-06 10:13:18","CMARTILL","CMARTILL","CG852"
"=SEFJ4YU","Y","NLAMS","Y","Y","Y","=SEFJ4YS","OST  ","Y","Y","2020-08-26 16:46:41","2020-08-26 16:46:41","SMANZANO","SMANZANO","CG852"
"=SEGZIR9","Y","AUMEL","Y","Y","Y","=SEGZIR8","CDECH","Y","Y","2020-09-23 23:34:54","2020-09-23 23:34:54","JCAPR01 ","JCAPR01 ",""
"=SEGZIRA","Y","AUSYD","Y","Y","Y","=SEGZIR8","CDECH","Y","Y","2020-09-23 23:34:54","2020-09-23 23:34:54","JCAPR01 ","JCAPR01 ",""
"=SEGZIRB","Y","AUMEL","Y","Y","Y","=SEGZIR7","GTR  ","Y","Y","2020-09-23 23:34:54","2020-09-23 23:34:54","JCAPR01 ","JCAPR01 ",""
"=SEGZIRC","Y","AUSYD","Y","Y","Y","=SEGZIR7","GTR  ","Y","Y","2020-09-23 23:34:54","2020-09-23 23:34:54","JCAPR01 ","JCAPR01 ",""
"=YEJ2X4T","Y","NLAMS","Y","Y","Y","=YEJ2X4S","OST  ","Y","Y","2020-11-03 19:10:03","2020-11-03 19:10:03","A116594 ","A116594 ","CG852"
"?!EHMO5B","Y","NLAMS","Y","Y","Y","?!EHMO5A","OST  ","Y","Y","2020-10-06 13:00:32","2020-10-06 13:00:32","B116594 ","B116594 ","CG852"
"?.EBVNFG","Y","NLAMS","Y","Y","Y","?.EBVNFE","DEA  ","Y","Y","2020-06-16 16:21:22","2020-06-16 16:21:22","RPTINPAM","RPTINPAM","CG852"
"?1EJ4SBV","Y","NLAMS","Y","Y","Y","?1EJ4SBU","OST  ","Y","Y","2020-11-04 18:07:27","2020-11-04 18:07:27","A116594 ","A116594 ","CG852"
"?2EBX2O2","Y","NLAMS","Y","Y","Y","?2EBX2O1","OST  ","Y","Y","2020-06-17 10:03:07","2020-06-17 10:03:07","RPTINPAM","RPTINPAM","CG852"
"?5EI1TBE","Y","NLAMS","Y","Y","Y","?5EI1TBD","OST  ","Y","Y","2020-10-14 14:40:50","2020-10-14 14:40:50","LIQUSR03","LIQUSR03","CG852"
"?9EFKOBQ","Y","AUSYD","Y","Y","Y","?9EFKOBP","LRP  ","Y","Y","2020-08-27 11:25:13","2020-08-27 11:25:13","DJRHINPT","DJRHINPT",""
"?9EFKOBR","Y","USNYC","Y","Y","Y","?9EFKOBP","LRP  ","Y","Y","2020-08-27 11:25:13","2020-08-27 11:25:13","DJRHINPT","DJRHINPT",""
"?9EFKOOS","Y","AUSYD","Y","Y","Y","?9EFKOOR","LRP  ","Y","Y","2020-08-27 11:34:31","2020-08-27 11:34:31","DJRHINPT","DJRHINPT",""
"?9EFKOOT","Y","USNYC","Y","Y","Y","?9EFKOOR","LRP  ","Y","Y","2020-08-27 11:34:31","2020-08-27 11:34:31","DJRHINPT","DJRHINPT",""
"?EEHN4OC","Y","NLAMS","Y","Y","Y","?EEHN4OB","OST  ","Y","Y","2020-10-06 13:52:35","2020-10-06 13:52:35","LIQUSR05","LIQUSR05","CG852"
"?LEFKXE3","Y","AUSYD","Y","Y","Y","?LEFKXE2","LRP  ","Y","Y","2020-08-27 14:43:02","2020-08-27 14:43:02","DJRHINPT","DJRHINPT",""
"?LEFKXE4","Y","USNYC","Y","Y","Y","?LEFKXE2","LRP  ","Y","Y","2020-08-27 14:43:02","2020-08-27 14:43:02","DJRHINPT","DJRHINPT",""
"?LEIG4MI","Y","AUSYD","Y","Y","Y","?LEIG4MH","OST  ","Y","Y","2020-10-22 09:09:58","2020-10-22 09:09:58","SMANZANO","SMANZANO","CG852"
"@-EFH365","Y","NLAMS","Y","Y","Y","@-EFH363","DEA  ","Y","Y","2020-08-25 14:02:21","2020-08-25 14:02:21","JAQUITAN","JAQUITAN","CG852"
"@3EITP46","Y","AUSYD","Y","Y","Y","@3EITP45","OST  ","Y","Y","2020-10-29 15:56:42","2020-10-29 15:56:42","TESTINP ","TESTINP ","CG852"
"@3EITP47","Y","NLAMS","Y","Y","Y","@3EITP45","OST  ","Y","Y","2020-10-29 15:56:42","2020-10-29 15:56:42","TESTINP ","TESTINP ","CG852"
"@EEFGXOA","Y","NLAMS","Y","Y","Y","@EEFGXO8","DEA  ","Y","Y","2020-08-25 11:57:45","2020-08-25 11:57:45","SMANZANO","SMANZANO","CG852"
"@EEI01UX","Y","NLAMS","Y","Y","Y","@EEI01UV","DEA  ","Y","Y","2020-10-13 14:04:50","2020-10-13 14:04:50","LIQUSR05","LIQUSR05","CG852"
"@MEHZTOM","Y","NLAMS","Y","Y","Y","@MEHZTOL","OST  ","Y","Y","2020-10-13 13:14:58","2020-10-13 13:14:58","JAQUITAN","JAQUITAN","CG852"
"@SEITR1N","Y","AUSYD","Y","Y","Y","@SEITR1K","OST  ","Y","Y","2020-10-29 17:53:26","2020-10-29 17:53:26","TESTINP ","TESTINP ","CG852"
"@SEITR1O","Y","NLAMS","Y","Y","Y","@SEITR1K","OST  ","Y","Y","2020-10-29 17:53:26","2020-10-29 17:53:26","TESTINP ","TESTINP ","CG852"
"A@EGO005","Y","NLAMS","Y","Y","Y","A@EGO004","LRP  ","Y","Y","2020-09-17 16:59:11","2020-09-17 16:59:11","JAQUITAN","JAQUITAN","CG852"
"A@EGO1OA","Y","NLAMS","Y","Y","Y","A@EGO1O9","OST  ","Y","Y","2020-09-17 18:57:11","2020-09-17 18:57:11","JAQUITAN","JAQUITAN","CG852"
"ACEGO079","Y","NLAMS","Y","Y","Y","ACEGO078","LRP  ","Y","Y","2020-09-17 17:13:33","2020-09-17 17:13:33","SMANZANO","SMANZANO","CG852"
"ACEGO0BJ","Y","NLAMS","Y","Y","Y","ACEGO0BI","OST  ","Y","Y","2020-09-17 17:54:51","2020-09-17 17:54:51","SMANZANO","SMANZANO","CG852"
"ACEGO0ML","Y","NLAMS","Y","Y","Y","ACEGO0MK","OST  ","Y","Y","2020-09-17 17:56:14","2020-09-17 17:56:14","SMANZANO","SMANZANO","CG852"
"AJEGNWR6","Y","NLAMS","Y","Y","Y","AJEGNWR5","LRP  ","Y","Y","2020-09-17 17:10:18","2020-09-17 17:10:18","CMARTILL","CMARTILL","CG852"
"AREHQR5F","Y","NLAMS","Y","Y","Y","AREHQR3F","DEA  ","Y","Y","2020-10-08 15:27:52","2020-10-08 15:27:52","ARFELI01","ARFELI01","CG852"
"AREHQR7W","Y","NLAMS","Y","Y","Y","AREHQR5W","DEA  ","Y","Y","2020-10-08 16:05:13","2020-10-08 16:05:13","ARFELI01","ARFELI01","CG852"
"ATEGNVY9","Y","NLAMS","Y","Y","Y","ATEGNVY8","LRP  ","Y","Y","2020-09-17 16:52:48","2020-09-17 16:52:48","JAQUITAN","JAQUITAN","CG852"
"B#EGM234","Y","NLAMS","Y","Y","Y","B#EGM233","OST  ","Y","Y","2020-09-16 16:18:37","2020-09-16 16:18:37","JAQUITAN","JAQUITAN","CG852"
"B*EFVTN4","Y","NLAMS","Y","Y","Y","B*EFVTN3","OST  ","Y","Y","2020-09-02 13:12:32","2020-09-02 13:12:32","SMANZANO","SMANZANO","CG852"
"B*EFVX8A","Y","NLAMS","Y","Y","Y","B*EFVX86","OST  ","Y","Y","2020-09-02 14:29:26","2020-09-02 14:29:26","SMANZANO","SMANZANO","CG852"
"B+EGM7QX","Y","AUSYD","Y","Y","Y","B+EGM7QV","OST  ","Y","Y","2020-09-16 19:14:16","2020-09-16 19:14:16","CMARTILL","CMARTILL","CG852"
"B+EGM97U","Y","AUSYD","Y","Y","Y","B+EGM97T","OST  ","Y","Y","2020-09-16 19:48:02","2020-09-16 19:48:02","CMARTILL","CMARTILL","CG852"
"B+EGM9NW","Y","AUSYD","Y","Y","Y","B+EGM9NV","OST  ","Y","Y","2020-09-16 19:54:34","2020-09-16 19:54:34","CMARTILL","CMARTILL","CG852"
"B+EGM9Y6","Y","AUSYD","Y","Y","Y","B+EGM9Y5","OST  ","Y","Y","2020-09-16 19:58:30","2020-09-16 19:58:30","CMARTILL","CMARTILL","CG852"
"B+EGMA8M","Y","AUSYD","Y","Y","Y","B+EGMA8L","OST  ","Y","Y","2020-09-16 20:06:45","2020-09-16 20:06:45","CMARTILL","CMARTILL","CG852"
"B5EHONDZ","Y","NLAMS","Y","Y","Y","B5EHONDY","OST  ","Y","Y","2020-10-07 12:57:09","2020-10-07 12:57:09","CMARTILL","CMARTILL","CG852"
"B5EHOOHY","Y","NLAMS","Y","Y","Y","B5EHOOHX","OST  ","Y","Y","2020-10-07 13:46:34","2020-10-07 13:46:34","CMARTILL","CMARTILL","CG852"
"BGEGM4DC","Y","NLAMS","Y","Y","Y","BGEGM4DB","OST  ","Y","Y","2020-09-16 17:02:46","2020-09-16 17:02:46","JAQUITAN","JAQUITAN","CG852"
"BKEHOLEP","Y","NLAMS","Y","Y","Y","BKEHOLEO","OST  ","Y","Y","2020-10-07 12:39:04","2020-10-07 12:39:04","LIQUSR03","LIQUSR03","CG852"
"BYEDA575","Y","NLAMS","Y","Y","Y","BYEDA56Z","DEA  ","Y","Y","2020-07-13 23:05:44","2020-07-13 23:05:44","FJUSRAM ","FJUSRAM ","CG852"
"BZEI38KS","Y","AUSYD","Y","Y","Y","BZEI38KR","OST  ","Y","Y","2020-10-15 09:37:20","2020-10-15 09:37:20","SMANZANO","SMANZANO","CG852"
"C(EFH91Q","Y","NLAMS","Y","Y","Y","C(EFH91P","OST  ","Y","Y","2020-08-25 16:04:16","2020-08-25 16:04:16","JAQUITAN","JAQUITAN","CG852"
"C6EFHAQ3","Y","NLAMS","Y","Y","Y","C6EFHAQ1","DEA  ","Y","Y","2020-08-25 16:13:24","2020-08-25 16:13:24","JAQUITAN","JAQUITAN","CG852"
"CBEHZYBB","Y","NLAMS","Y","Y","Y","CBEHZYBA","OST  ","Y","Y","2020-10-13 17:23:23","2020-10-13 17:23:23","C116594 ","C116594 ","CG852"
"CFEHZW9H","Y","NLAMS","Y","Y","Y","CFEHZW9G","OST  ","Y","Y","2020-10-13 14:42:31","2020-10-13 14:42:31","JAQUITAN","JAQUITAN","CG852"
"D!EH123E","Y","AUMEL","Y","Y","Y","D!EH123D","LRP  ","Y","Y","2020-09-24 19:35:26","2020-09-24 19:35:26","JCUSR01 ","JCUSR01 ",""
"D!EH123F","Y","AUSYD","Y","Y","Y","D!EH123D","LRP  ","Y","Y","2020-09-24 19:35:26","2020-09-24 19:35:26","JCUSR01 ","JCUSR01 ",""
"D!EH123G","Y","JPTYO","Y","Y","Y","D!EH123D","LRP  ","Y","Y","2020-09-24 19:35:26","2020-09-24 19:35:26","JCUSR01 ","JCUSR01 ",""
"D!EH123H","Y","SGSIN","Y","Y","Y","D!EH123D","LRP  ","Y","Y","2020-09-24 19:35:26","2020-09-24 19:35:26","JCUSR01 ","JCUSR01 ",""
"D!EH123I","Y","USNYC","Y","Y","Y","D!EH123D","LRP  ","Y","Y","2020-09-24 19:35:26","2020-09-24 19:35:26","JCUSR01 ","JCUSR01 ",""
"D*EJ4NGJ","Y","NLAMS","Y","Y","Y","D*EJ4NGI","OST  ","Y","Y","2020-11-04 16:19:49","2020-11-04 16:19:49","C116594 ","C116594 ","CG852"
"D.EJ4BOD","Y","NLAMS","Y","Y","Y","D.EJ4BOC","OST  ","Y","Y","2020-11-04 13:19:23","2020-11-04 13:19:23","C116594 ","C116594 ","CG852"
"D2EI1V7F","Y","AUSYD","Y","Y","Y","D2EI1V7E","OST  ","Y","Y","2020-10-14 13:52:12","2020-10-14 13:52:12","SMANZANO","SMANZANO","CG852"
"D3EI1MRX","Y","AUSYD","Y","Y","Y","D3EI1MRL","DEA  ","Y","Y","2020-10-14 13:37:15","2020-10-14 13:37:15","JAQUITAN","JAQUITAN","CG852"
"DGEFKGBQ","Y","NLAMS","Y","Y","Y","DGEFKGBP","OST  ","Y","Y","2020-08-27 09:15:00","2020-08-27 09:15:00","SMANZANO","SMANZANO","CG852"
"DOEJ4DJN","Y","NLAMS","Y","Y","Y","DOEJ4DJM","OST  ","Y","Y","2020-11-04 14:07:23","2020-11-04 14:07:23","A116594 ","A116594 ","CG852"
"DTEI1U4Q","Y","AUSYD","Y","Y","Y","DTEI1U4P","OST  ","Y","Y","2020-10-14 13:25:46","2020-10-14 13:25:46","SMANZANO","SMANZANO","CG852"
"E0EHXZOY","Y","NLAMS","Y","Y","Y","E0EHXZOW","DEA  ","Y","Y","2020-10-12 14:21:24","2020-10-12 14:21:24","CESSINP1","CESSINP1","CG852"
"E0EHXZWM","Y","AUSYD","Y","Y","Y","E0EHXZOW","DEA  ","Y","Y","2020-10-12 14:29:34","2020-10-12 14:29:34","CESSINP1","CESSINP1","CG852"
"E0EHXZXG","Y","GBLON","Y","Y","Y","E0EHXZOW","DEA  ","Y","Y","2020-10-12 14:30:00","2020-10-12 14:30:00","CESSINP1","CESSINP1","CG852"
"E0EHXZYU","Y","NOOSL","Y","Y","Y","E0EHXZOW","DEA  ","Y","Y","2020-10-12 14:30:50","2020-10-12 14:30:50","CESSINP1","CESSINP1","CG852"
"E0EHXZZK","Y","USNYC","Y","Y","Y","E0EHXZOW","DEA  ","Y","Y","2020-10-12 14:31:16","2020-10-12 14:31:16","CESSINP1","CESSINP1","CG852"
"E9EK76A7","Y","NLAMS","Y","Y","Y","E9EK76A5","DEA  ","Y","Y","2020-11-25 09:08:47","2020-11-25 09:08:47","SKOUSR01","SKOUSR01","CG852"
"E9EK76AV","Y","AUSYD","Y","Y","Y","E9EK76A5","DEA  ","Y","Y","2020-11-25 09:13:42","2020-11-25 09:13:42","SKOUSR01","SKOUSR01","CG852"
"E9EK76C8","Y","NLAMS","Y","Y","Y","E9EK76C6","DEA  ","Y","Y","2020-11-25 09:21:49","2020-11-25 09:21:49","SKOUSR01","SKOUSR01","CG852"
"E9EK76CW","Y","AUSYD","Y","Y","Y","E9EK76C6","DEA  ","Y","Y","2020-11-25 09:26:38","2020-11-25 09:26:38","SKOUSR01","SKOUSR01","CG852"
"E9EK7AWX","Y","NLAMS","Y","Y","Y","E9EK7AWV","DEA  ","Y","Y","2020-11-25 12:06:15","2020-11-25 12:06:15","SKOUSR01","SKOUSR01","CG852"
"E9EK7B4T","Y","AUSYD","Y","Y","Y","E9EK7AWV","DEA  ","Y","Y","2020-11-25 12:11:04","2020-11-25 12:11:04","SKOUSR01","SKOUSR01","CG852"
"E9EK7BRT","Y","NLAMS","Y","Y","Y","E9EK7BRR","DEA  ","Y","Y","2020-11-25 12:24:47","2020-11-25 12:24:47","SKOUSR01","SKOUSR01","CG852"
"E9EK7C05","Y","AUSYD","Y","Y","Y","E9EK7BRR","DEA  ","Y","Y","2020-11-25 12:29:51","2020-11-25 12:29:51","SKOUSR01","SKOUSR01","CG852"
"E9EK7CNG","Y","NLAMS","Y","Y","Y","E9EK7CNE","DEA  ","Y","Y","2020-11-25 12:43:46","2020-11-25 12:43:46","SKOUSR01","SKOUSR01","CG852"
"E?EIAVKP","Y","NLAMS","Y","Y","Y","E?EIAVKO","OST  ","Y","Y","2020-10-19 13:02:24","2020-10-19 13:02:24","ARFELI01","ARFELI01","CG852"
"EIEHXY7X","Y","NLAMS","Y","Y","Y","EIEHXY7V","DEA  ","Y","Y","2020-10-12 13:49:56","2020-10-12 13:49:56","CESSINP1","CESSINP1","CG852"
"EIEHXYFT","Y","AUSYD","Y","Y","Y","EIEHXY7V","DEA  ","Y","Y","2020-10-12 13:57:50","2020-10-12 13:57:50","CESSINP1","CESSINP1","CG852"
"EIEHXYGJ","Y","GBLON","Y","Y","Y","EIEHXY7V","DEA  ","Y","Y","2020-10-12 13:58:16","2020-10-12 13:58:16","CESSINP1","CESSINP1","CG852"
"EIEHXYHX","Y","NOOSL","Y","Y","Y","EIEHXY7V","DEA  ","Y","Y","2020-10-12 13:59:05","2020-10-12 13:59:05","CESSINP1","CESSINP1","CG852"
"EIEHXYIQ","Y","USNYC","Y","Y","Y","EIEHXY7V","DEA  ","Y","Y","2020-10-12 13:59:34","2020-10-12 13:59:34","CESSINP1","CESSINP1","CG852"
"ENEHXW2H","Y","NLAMS","Y","Y","Y","ENEHXW2F","DEA  ","Y","Y","2020-10-12 13:02:50","2020-10-12 13:02:50","CESSINP1","CESSINP1","CG852"
"EXEHXWY0","Y","NLAMS","Y","Y","Y","EXEHXWXY","DEA  ","Y","Y","2020-10-12 13:21:38","2020-10-12 13:21:38","CESSINP1","CESSINP1","CG852"
"F$EG7B9S","Y","NLAMS","Y","Y","Y","F$EG7B9R","LRP  ","Y","Y","2020-09-08 18:03:40","2020-09-08 18:03:40","MANZANOM","MANZANOM","CG852"
"F$EHSHSV","Y","NLAMS","Y","Y","Y","F$EHSHQV","DEA  ","Y","Y","2020-10-09 14:50:03","2020-10-09 14:50:03","ARFELI01","ARFELI01","CG852"
"F)EHSGO5","Y","NLAMS","Y","Y","Y","F)EHSGO4","LRP  ","Y","Y","2020-10-09 14:46:55","2020-10-09 14:46:55","MANZANOM","MANZANOM","CG852"
"F)EHSGRL","Y","NLAMS","Y","Y","Y","F)EHSGRK","OST  ","Y","Y","2020-10-09 14:48:20","2020-10-09 14:48:20","MANZANOM","MANZANOM","CG852"
"F*EHSKCE","Y","NLAMS","Y","Y","Y","F*EHSKAE","DEA  ","Y","Y","2020-10-09 15:51:00","2020-10-09 15:51:00","ARFELI01","ARFELI01","CG852"
"F2EHSIH6","Y","NLAMS","Y","Y","Y","F2EHSIH5","LRP  ","Y","Y","2020-10-09 15:26:22","2020-10-09 15:26:22","CMARTILL","CMARTILL","CG852"
"F2EHSIKG","Y","NLAMS","Y","Y","Y","F2EHSIKF","OST  ","Y","Y","2020-10-09 15:28:24","2020-10-09 15:28:24","CMARTILL","CMARTILL","CG852"
"F;EHSRKE","Y","NLAMS","Y","Y","Y","F;EHSRKD","OST  ","Y","Y","2020-10-09 14:32:39","2020-10-09 14:32:39","LIQUSR03","LIQUSR03","CG852"
"F?EF7SNR","Y","NLAMS","Y","Y","Y","F?EF7SNQ","OST  ","Y","Y","2020-08-20 11:32:18","2020-08-20 11:32:18","LIQUSR05","LIQUSR05","CG852"
"F?EG7BW9","Y","NLAMS","Y","Y","Y","F?EG7BW8","LRP  ","Y","Y","2020-09-08 18:16:57","2020-09-08 18:16:57","JAQUITAN","JAQUITAN","CG852"
"F?EG7BYM","Y","NLAMS","Y","Y","Y","F?EG7BYL","OST  ","Y","Y","2020-09-08 18:19:26","2020-09-08 18:19:26","JAQUITAN","JAQUITAN","CG852"
"FAEHSD5E","Y","NLAMS","Y","Y","Y","FAEHSD5D","LRP  ","Y","Y","2020-10-09 13:30:51","2020-10-09 13:30:51","SMANZANO","SMANZANO","CG852"
"FAEHSD8E","Y","NLAMS","Y","Y","Y","FAEHSD8D","OST  ","Y","Y","2020-10-09 13:31:15","2020-10-09 13:31:15","SMANZANO","SMANZANO","CG852"
"FFEHSALD","Y","NLAMS","Y","Y","Y","FFEHSALC","OST  ","Y","Y","2020-10-09 14:18:21","2020-10-09 14:18:21","C116594 ","C116594 ","CG852"
"FGEG7DXA","Y","NLAMS","Y","Y","Y","FGEG7DX9","LRP  ","Y","Y","2020-09-08 18:35:15","2020-09-08 18:35:15","JAQUITAN","JAQUITAN","CG852"
"FGEG7DZQ","Y","NLAMS","Y","Y","Y","FGEG7DZP","OST  ","Y","Y","2020-09-08 18:35:32","2020-09-08 18:35:32","JAQUITAN","JAQUITAN","CG852"
"FJEG71M5","Y","NLAMS","Y","Y","Y","FJEG71M4","LRP  ","Y","Y","2020-09-08 14:25:00","2020-09-08 14:25:00","SMANZANO","SMANZANO","CG852"
"FJEG71OJ","Y","NLAMS","Y","Y","Y","FJEG71OI","OST  ","Y","Y","2020-09-08 14:30:06","2020-09-08 14:30:06","SMANZANO","SMANZANO","CG852"
"FJEG72AT","Y","NLAMS","Y","Y","Y","FJEG72AS","LRP  ","Y","Y","2020-09-08 14:49:57","2020-09-08 14:49:57","SMANZANO","SMANZANO","CG852"
"FJEG73SJ","Y","NLAMS","Y","Y","Y","FJEG73SD","OST  ","Y","Y","2020-09-08 15:25:02","2020-09-08 15:25:02","SMANZANO","SMANZANO","CG852"
"FYEHSEMU","Y","NLAMS","Y","Y","Y","FYEHSEG7","DEA  ","Y","Y","2020-10-09 14:03:00","2020-10-09 14:03:00","ARFELI01","ARFELI01","CG852"
"G(EHQKTJ","Y","NLAMS","Y","Y","Y","G(EHQKTI","LRP  ","Y","Y","2020-10-08 11:21:15","2020-10-08 11:21:15","LIQSVR02","LIQSVR02","CG852"
"G(EHQKWB","Y","NLAMS","Y","Y","Y","G(EHQKWA","OST  ","Y","Y","2020-10-08 11:22:25","2020-10-08 11:22:25","LIQSVR02","LIQSVR02","CG852"
"G)EH9SQ1","Y","NLAMS","Y","Y","Y","G)EH9SQ0","OST  ","Y","Y","2020-09-29 11:32:45","2020-09-29 11:32:45","JAQUITAN","JAQUITAN","CG852"
"G5EHQFJY","Y","NLAMS","Y","Y","Y","G5EHQFJW","DEA  ","Y","Y","2020-10-08 11:12:11","2020-10-08 11:12:11","ARFELI01","ARFELI01","CG852"
"G5EHQFKE","Y","NLAMS","Y","Y","Y","G5EHQFKC","DEA  ","Y","Y","2020-10-08 11:24:53","2020-10-08 11:24:53","ARFELI01","ARFELI01","CG852"
"G8EK1TM2","Y","NLAMS","Y","Y","Y","G8EK1TM1","LRP  ","Y","Y","2020-11-22 13:04:21","2020-11-22 13:04:21","CMARTILL","CMARTILL","CG852"
"G8EK1TRM","Y","NLAMS","Y","Y","Y","G8EK1TRL","OST  ","Y","Y","2020-11-22 13:06:38","2020-11-22 13:06:38","CMARTILL","CMARTILL","CG852"
"GPEH9QQB","Y","NLAMS","Y","Y","Y","GPEH9QQA","OST  ","Y","Y","2020-09-29 10:56:38","2020-09-29 10:56:38","JAQUITAN","JAQUITAN","CG852"
"H+EFJ1OM","Y","NLAMS","Y","Y","Y","H+EFJ1OL","OST  ","Y","Y","2020-08-26 15:32:45","2020-08-26 15:32:45","LIQUSR03","LIQUSR03","CG852"
"H+EFJ2JA","Y","NLAMS","Y","Y","Y","H+EFJ2J9","OST  ","Y","Y","2020-08-26 15:46:54","2020-08-26 15:46:54","LIQUSR03","LIQUSR03","CG852"
